jaar	gem_jaar	gem_og	gem_bg	og_jaar	bg_jaar	dag_onder_p01_mean	dag_onder_p05_mean	dag_onder_p10_mean	dag_onder_p30_mean	dag_onder_p01_median	dag_onder_p05_median	dag_onder_p10_median	dag_onder_p30_median
2009	67.2670042616051	56.2894054282668	81.024704325552	51.7883946027513	89.9043040455565	40.6844827586207	71.226724137931	95.4318965517241	163.478448275862	35	67	89	161
2010	53.520765707216	44.5993442856612	64.7589689857911	43.6780645616315	67.1285999276395	30.9534482758621	51.0646551724138	66.1715517241379	120.719827586207	31	51	65	119
2011	45.3051594982511	37.7346308628371	54.8340665193954	35.5961533601842	59.1394646331376	20.451724137931	47.7818965517241	74.023275862069	156.478448275862	10	39.5	68	151
2012	21.7964941416865	17.6877641975851	27.1157114995373	14.4069259233219	36.1079385864129	5.85	17.0784482758621	29.898275862069	85.9594827586207	0	11	27	82
2013	37.1130613493953	30.7610755263926	45.1484717719736	25.9421880607224	55.4069267817213	10.9327586206897	33.448275862069	53.551724137931	114.450862068966	6.5	34	55	114
2014	19.0458455063693	15.3432057033644	23.8769059040665	13.5880778955705	28.452870271786	3.30431034482759	14.0120689655172	27.2448275862069	100.230172413793	0	8	22	97
2015	53.5481234078497	44.7057818197006	64.6515256875139	42.7934961838057	70.0014815676728	27.5275862068966	53.6206896551724	74.7741379310345	143.999137931034	25	50	71	146
2016	15.7069128580537	12.0181883398145	20.8187630760911	7.80549799825853	35.3640016991998	1.82413793103448	7.19396551724138	16.5896551724138	68.4577586206897	0	1	11	69
2017	59.5413149698666	49.7135034110975	71.8867337184931	40.1682553385719	88.3573295814129	28.2043103448276	60.95	84.4594827586207	148.204310344828	18	57	83	146
2018	116.723593885544	97.5418226035105	140.852495752693	93.968323664264	149.103494868316	85.0974137931034	112.062068965517	129.647413793103	177.511206896552	81	115	133	181
