jaar	gem_jaar	og_jaar	bg_jaar	var_sim	dag_onder_p01_mean	dag_onder_p05_mean	dag_onder_p10_mean	dag_onder_p30_mean	dag_onder_p01_median	dag_onder_p05_median	dag_onder_p10_median	dag_onder_p30_median	gem_jaar_t	gem_og_t	gem_bg_t	og_jaar_t	bg_jaar_t
1995	26.2307784922243	22.3898162741814	30.7306559322489	0.00652528047392873	21.0801724137931	40.2715517241379	56.9818965517241	119.962931034483	19	41	58	123	3.26693347289792	3.1326551162334	3.40402542449824	3.10860622486826	3.42526072092757
1996	25.3588760127146	21.6012411126071	29.7701687266903	0.00669541707299064	35.7181034482759	63.4396551724138	86.0637931034483	158.428448275862	27	57	79	151	3.23312880732161	3.09887524744558	3.37290125762366	3.07275077195641	3.39350684268681
1997	21.2971232951983	18.0062924034709	25.1893866037323	0.00733388908726654	16.3991379310345	35.8465517241379	55.2413793103448	132.356896551724	5	25	47	124	3.05857200703096	2.92247992718997	3.1974707176732	2.89072127477863	3.22642273928329
1998	16.7421045305643	13.6817123978917	20.4870600960399	0.0106076017880692	4.14655172413793	12.2060344827586	21.6043103448276	69.1887931034483	0	8	15	62	2.8179267758311	2.65833582596242	2.97556370903307	2.61606007964511	3.01979347201709
1999	13.7225199967159	10.7091313148023	17.5838309872984	0.0160024445551165	4.5551724137931	17.4301724137931	33.5672413793103	103.620689655172	1	13	30	108	2.6190382786619	2.4210707366088	2.81302182942915	2.37109677144107	2.86697978588273
2000	12.4835230845469	9.50198952756	16.400602016074	0.0193874964086505	0.402586206896552	2.99827586206897	7.93879310344828	45.0629310344828	0	0	2	43	2.52440962154383	2.29862796338103	2.74278556668438	2.25150120063404	2.79731804245361
2001	13.3455561480407	10.4475121176909	17.0474910097421	0.0156019958994666	2.74913793103448	10.9379310344828	21.4586206896552	66.1051724137931	0	5	16	73	2.59118345662587	2.38082789727659	2.79414672234161	2.34636387520438	2.83600303804735
2002	16.2863015601807	13.5283483956905	19.6065041164697	0.00896084348051529	0.168103448275862	1.65603448275862	5.76810344827586	54.523275862069	0	0	1	55	2.79032435940186	2.62387138447966	2.95265017822835	2.60478736493782	2.97586135386589
2003	21.2683968133771	18.325684815657	24.6836452531804	0.00577279259335262	37.8637931034483	67.6379310344828	90.0318965517241	153.062931034483	33	65	86	153	3.0572222532345	2.92273693946967	3.19446325540468	2.90830361764237	3.20614088882664
2004	24.8925016494811	21.4150184760825	28.9346768045736	0.00589402033743052	12.1293103448276	26.9681034482759	45.0741379310345	127.502586206897	0	11	29	121	3.21456661954428	3.07891098668712	3.355104990528	3.06409247383056	3.365040765258
2005	26.9709521395363	23.2757592564601	31.252783262538	0.00565166390399422	24.0913793103448	56.8181034482759	85.4077586206896	164.347413793103	13	42	75	161.5	3.29476044018203	3.15950464549536	3.43418588180229	3.14741244374644	3.44210843661763
2006	27.0373228610285	23.3159218531237	31.3526881800541	0.0057080932261508	22.6344827586207	43.0120689655172	62.1439655172414	143.203448275862	20	37	55	138	3.29721823965452	3.1564092563613	3.43924412980058	3.14913646853605	3.44530001077298
2007	26.3003722124234	22.3254933050473	30.982947120619	0.00698877817954999	3.50689655172414	10.2344827586207	21.7801724137931	101.740517241379	0	2	12	105	3.2695830916472	3.10998565547205	3.4231484884592	3.10572922304911	3.43343696024529
2008	27.1700318963157	23.2612316912381	31.7356640029031	0.0062802793470515	2.58534482758621	9.18275862068966	18.6336206896552	85.8310344827586	0	0	8	85	3.30211459739104	3.15019106342414	3.45049172744145	3.14678809888021	3.45744109590186
2009	29.3207324677563	25.4526922167301	33.7765979773509	0.00520999192263129	40.6844827586207	71.226724137931	95.4318965517241	163.478448275862	35	67	89	161	3.37829485855349	3.24517577653103	3.51493822431067	3.23682152194909	3.51976819515788
2010	28.9538472321135	25.0510129324525	33.4647254305056	0.0054570500981969	30.9534482758621	51.0646551724138	66.1715517241379	120.719827586207	31	51	65	119	3.36570308749059	3.23292498349318	3.50314891191711	3.22091426313859	3.51049191184259
2011	25.9580304196097	22.4845080952877	29.9681603177522	0.00537187852076308	20.451724137931	47.7818965517241	74.023275862069	156.478448275862	10	39.5	68	151	3.2564810191429	3.12132217293238	3.39427544122958	3.11282654296703	3.40013549531877
2012	22.5416886310754	19.2254660696859	26.4299302029174	0.00659167235266148	5.85	17.0784482758621	29.898275862069	85.9594827586207	0	11	27	82	3.11536642288958	2.96373088440525	3.26585068178264	2.95623575799439	3.27449708778477
2013	20.8106392704163	17.3653036317501	24.9395412845854	0.00852703252649152	10.9327586206897	33.448275862069	53.551724137931	114.450862068966	6.5	34	55	114	3.03546435931941	2.86787791578818	3.2025219720109	2.85447417131528	3.21645454732354
2014	21.0001933378331	17.2630622061096	25.5463436881026	0.00999617975073909	3.30431034482759	14.0120689655172	27.2448275862069	100.230172413793	0	8	22	97	3.04453164424452	2.86818758267218	3.2217040208408	2.84856908626357	3.24049420222548
2015	23.9847036909948	19.8528259307308	28.9765302507562	0.00930535051214019	27.5275862068966	53.6206896551724	74.7741379310345	143.999137931034	25	50	71	146	3.17741628094796	3.00936463248933	3.34685742862401	2.98834636126892	3.366486200627
2016	29.7259389824696	24.7425128895364	35.7130842907713	0.00876488565340847	1.82413793103448	7.19396551724138	16.5896551724138	68.4577586206897	0	1	11	69	3.39202003105924	3.22554641532154	3.55560064392579	3.20852293373578	3.5755171283827
2017	42.3585168445634	36.0263268330419	49.8036882190708	0.0068247438003956	28.2043103448276	60.95	84.4594827586207	148.204310344828	18	57	83	146	3.74616950700794	3.59560127742212	3.90028461993328	3.58424997210372	3.90808904191217
2018	65.0564977049367	52.2469660318997	81.0065773206496	0.0125159317235368	85.0974137931034	112.062068965517	129.647413793103	177.511206896552	81	115	133	181	4.17525608782458	3.97254369541838	4.38759003376129	3.95598182278388	4.39453035286528
