jaar	gem_jaar	og_jaar	bg_jaar	dag_onder_p01_mean	dag_onder_p05_mean	dag_onder_p10_mean	dag_onder_p30_mean	dag_onder_p01_median	dag_onder_p05_median	dag_onder_p10_median	dag_onder_p30_median	var_sim	gem_jaar_t	gem_og_t	gem_bg_t	og_jaar_t	bg_jaar_t
1995	115.894062765382	105.408390391752	127.422814581915	21.0801724137931	40.2715517241379	56.9818965517241	119.962931034483	19	41	58	123	0.00234109260562375	4.7526765218151	4.66329692968107	4.84526393835347	4.65784223817377	4.84751080545643
1996	118.389804320011	104.072286012738	134.677024056289	35.7181034482759	63.4396551724138	86.0637931034483	158.428448275862	27	57	79	151	0.00432486685915377	4.77398260657997	4.67192771592568	4.88239861245362	4.64508571551535	4.9028794976446
1997	109.059171499604	97.0470863831142	122.558062600935	16.3991379310345	35.8465517241379	55.2413793103448	132.356896551724	5	25	47	124	0.00354476283516584	4.69189059272969	4.59412951749172	4.79658368851557	4.57519628735203	4.80858489810734
1998	93.4319257637932	84.8362155821188	102.898563921455	4.14655172413793	12.2060344827586	21.6043103448276	69.1887931034483	0	8	15	62	0.00242458675738888	4.53723310442797	4.44619079125559	4.62914013501206	4.44072252217304	4.6337436866829
1999	81.6978357780762	71.7502898186855	93.0245214017701	4.5551724137931	17.4301724137931	33.5672413793103	103.620689655172	1	13	30	108	0.00438809028333034	4.40302751165067	4.29809421465439	4.5079033385459	4.27319189391639	4.53286312938495
2000	73.222903487098	59.566441395303	90.0103056266116	0.402586206896552	2.99827586206897	7.93879310344828	45.0629310344828	0	0	2	43	0.0110910890545234	4.29350826119566	4.15226451435215	4.43830501272331	4.08709235165413	4.49992417073719
2001	74.6980699823799	60.5514309683704	92.149790184268	2.74913793103448	10.9379310344828	21.4586206896552	66.1051724137931	0	5	16	73	0.0114753450354137	4.31345425488906	4.17049147907288	4.45943807296738	4.10349310255834	4.52341540721978
2002	85.6922771369553	73.7985752217065	99.5028201947846	0.168103448275862	1.65603448275862	5.76810344827586	54.523275862069	0	0	1	55	0.00581198378202398	4.45076270645509	4.33560053015638	4.56296472512145	4.30133942548113	4.60018598742905
2003	106.932769843198	97.1562335350704	117.693089267512	37.8637931034483	67.6379310344828	90.0318965517241	153.062931034483	33	65	86	153	0.00239300566424596	4.67220031776421	4.58292386703737	4.76586934556256	4.57632033779046	4.76808029773796
2004	124.730248961159	109.967997595939	141.474204732517	12.1293103448276	26.9681034482759	45.0741379310345	127.502586206897	0	11	29	121	0.0041302921854234	4.82615339713626	4.72327813119875	4.93569018103512	4.70018939251779	4.95211740175473
2005	134.641947254032	118.540944499122	152.92989301677	24.0913793103448	56.8181034482759	85.4077586206896	164.347413793103	13	42	75	161.5	0.00422238636657926	4.90261901244903	4.79839262652751	5.01188642220189	4.77525842409513	5.02997960080293
2006	132.780153849683	120.498645758124	146.313422407545	22.6344827586207	43.0120689655172	62.1439655172414	143.203448275862	20	37	55	138	0.00245208222757101	4.88869478197149	4.79740665225078	4.98388846137643	4.79163851434577	4.98575104959722
2007	125.904459664497	112.767787681427	140.571463618593	3.50689655172414	10.2344827586207	21.7801724137931	101.740517241379	0	2	12	105	0.00316077070074294	4.83552336269854	4.73530448173573	4.93287978552714	4.72533072808091	4.94571599731617
2008	123.720227943531	110.488730088107	138.53625424234	2.58534482758621	9.18275862068966	18.6336206896552	85.8310344827586	0	0	8	85	0.00333030657649714	4.81802279022974	4.71535397351555	4.91658906977779	4.70491352560358	4.93113205485591
2009	127.767569803138	116.712571137794	139.869696419647	40.6844827586207	71.226724137931	95.4318965517241	163.478448275862	35	67	89	161	0.00213191846132254	4.85021275233264	4.76169842657551	4.94074118163645	4.75971425532293	4.94071124934235
2010	127.21561645947	115.552368327296	140.056091497174	30.9534482758621	51.0646551724138	66.1715517241379	120.719827586207	31	51	65	119	0.00240698280446073	4.84588341427807	4.75697880243657	4.93891886314121	4.7497238326358	4.94204299592034
2011	123.220951318886	111.841264008219	135.758505401149	20.451724137931	47.7818965517241	74.023275862069	156.478448275862	10	39.5	68	151	0.00244411764458145	4.8139790960475	4.7248208723198	4.90712019539681	4.71708058035492	4.91087761174007
2012	114.745185885443	104.487216056542	126.010225755846	5.85	17.0784482758621	29.898275862069	85.9594827586207	0	11	27	82	0.00228294621799207	4.74271389499256	4.64994314798681	4.83500921409598	4.64906472953425	4.83636306045087
2013	110.810253114011	100.506133104911	122.170775214028	10.9327586206897	33.448275862069	53.551724137931	114.450862068966	6.5	34	55	114	0.00247966171763497	4.70781930716195	4.61279355882251	4.80165770856336	4.61021875155663	4.80541986276727
2014	110.111189169051	99.4897296794075	121.866588835773	3.30431034482759	14.0120689655172	27.2448275862069	100.230172413793	0	8	22	97	0.00267839235623177	4.70149066589509	4.60496912681189	4.79681456615478	4.60005441953463	4.80292691225555
2015	113.31727059698	102.244486031882	125.589205969945	27.5275862068966	53.6206896551724	74.7741379310345	143.999137931034	25	50	71	146	0.00275221871121848	4.7301915888708	4.63333004443263	4.82571314038132	4.62736686713027	4.83301631061133
2016	118.354576764857	105.049099394054	133.34532063567	1.82413793103448	7.19396551724138	16.5896551724138	68.4577586206897	0	1	11	69	0.0037021731637511	4.77368500665171	4.66770394077989	4.87543252311939	4.65442785413721	4.8929421591662
2017	135.51465306989	122.524448916142	149.882095851919	28.2043103448276	60.95	84.4594827586207	148.204310344828	18	57	83	146	0.00264328094316985	4.90907977521017	4.81131752464291	5.00878093538787	4.80831059305966	5.00984895736067
2018	159.76074230321	137.059790639657	186.22160928566	85.0974137931034	112.062068965517	129.647413793103	177.511206896552	81	115	133	181	0.00611428861539447	5.07367733546137	4.93376869867578	5.21946991250436	4.92041725864781	5.22693741227494
