jaar	mean	p02.5	p50	p97.5	simulatienr	groep3n
1988	10.3248128296645	4.13369668369746	10.2345180889519	27.1513553824507	8	4
1988	10.0228039993429	4.90322559351991	9.98021213625934	21.0066091719539	9	2
1988	12.5122810660665	5.17967067092641	12.5205492869339	30.1642770069051	9	3
1988	7.94887024050474	2.60393811460329	7.90399305791791	25.0757629765343	9	4
1988	9.24958731836067	4.27101497935149	9.21937672622862	20.4120851517122	10	2
1988	51.6335788801714	13.450955253479	51.5190901533951	200.319697314858	10	3
1988	27.2799332657349	5.32442416752988	27.5724703133487	131.53178622636	10	4
1988	12.7856092814892	7.0100841209899	12.7088416478372	24.1540031086744	11	2
1988	9.25173480510955	3.81858965429019	9.20575875985222	23.081007653698	11	3
1988	6.80058976367965	2.13136670244941	6.79786238305323	21.7461401034651	11	4
1988	13.2206029110393	6.6851738791703	13.1673115825896	26.7736156075629	12	2
1988	47.5519322988736	19.8332719782432	46.994998148716	122.248804367708	12	3
1988	4.88723923565419	1.72298402361774	4.89082137528053	13.7958798015505	12	4
1988	8.68965040784761	4.55507922835674	8.6521021238789	17.0036330677133	13	2
1988	26.3374300576592	9.52653574250875	26.4887607381858	70.7587067668231	13	3
1988	45.8944511514088	10.5269197047766	45.8314307162246	201.153407509654	13	4
1988	9.28908152748035	5.08400077654356	9.23502806852234	17.5608835290453	14	2
1988	37.2648244473417	17.6304168644376	36.7695408209048	85.0123172608061	14	3
1988	5.21015573709662	1.46405524940875	5.22156358768489	18.3047557169923	14	4
1988	12.4423185252729	5.98204005432858	12.3652634845398	26.8453822021643	15	2
1988	23.7748218077817	7.04647065841559	23.9244216328511	77.7572704567017	15	3
1988	6.55961509551752	3.21210512613606	6.5102859592281	13.9983036496195	15	4
1988	8.16906200627273	4.03066716224393	8.13455667302775	16.9711280681579	16	2
1988	30.5847473370338	10.7628746399427	30.8324985520525	83.2264353723148	16	3
1988	3.10278537201367	0.71684414586884	3.20938026245334	11.0430427315694	16	4
1988	8.07423333243969	3.64211329001752	8.05666357312349	18.1196464426315	17	2
1988	23.7968003429224	9.13742944698937	23.7346298130201	63.0326976042966	17	3
1988	10.2250347443371	2.56408520847256	10.3053508656142	39.090032414528	17	4
1988	19.114813774341	9.330289253831	19.0127946375881	40.4409561470864	18	2
