jaar	groep3n	gem_jaar	gem_og	gem_bg	og_jaar	bg_jaar	dag_onder_p01_mean	dag_onder_p05_mean	dag_onder_p10_mean	dag_onder_p30_mean	dag_onder_p01_median	dag_onder_p05_median	dag_onder_p10_median	dag_onder_p30_median
2014	1	23.6291123370344	17.0371238336173	33.5295820513936	13.175510450623	50.6177101694124	4.88947368421053	21.1447368421053	39.4921052631579	127.002631578947	1	18	32	122.5
2014	2	21.8417139688154	13.9553773864051	35.3195583047662	1.52218973898485	101.292484584473	2.11052631578947	9.06578947368421	18.7131578947368	79.5368421052632	0	2	9.5	75
2014	3	14.6895176425428	10.450608186864	21.0849740160581	8.64371227480099	29.5539028274085	2.9325	11.935	23.715	94.455	0	8	20	96
2015	1	47.646377909568	35.4752806789788	65.3181050314509	30.1134278181182	82.1212133901498	28.7	53.4842105263158	76.1315789473684	148.426315789474	27	49.5	69	143.5
2015	2	41.8389244280569	30.2302241474985	59.3107404400701	23.0602319966309	95.9340412793238	18.0868421052632	40.4052631578947	61.1315789473684	135.344736842105	14	36	59	139
2015	3	62.1946373658852	46.941949585757	83.8555664396446	39.6241831008376	109.730076187065	35.3825	66.305	86.445	148.015	32.5	59	85	158
2016	1	15.7198886159081	9.76925321648801	26.2315493849133	4.28277168752578	75.9772760848305	1.2	6.30263157894737	16.3368421052632	72.9026315789474	0	0	11	73
2016	2	23.7161450924462	14.0035333980388	41.6776761866869	-0.405571425472607	189.897312900988	0.855263157894737	6.29473684210526	15.6236842105263	67.6894736842105	0	0	9	70
2016	3	16.5419769566419	11.2593648572342	24.9452439358827	5.82835659329296	48.8160791849714	3.3375	8.895	17.7475	64.965	0	1.5	15	66
2017	1	46.1035802371751	34.1728488503419	63.5297071493115	20.689128663356	98.7546363279621	23.3342105263158	50.4447368421053	74.0105263157895	141.663157894737	13	40	67	133
2017	2	62.5970868009511	45.4109134758788	88.3575861116073	23.7742936539262	153.884142484126	26.5289473684211	62.4184210526316	86.3842105263158	154.45	19	57.5	79	150.5
2017	3	67.9130828972373	51.1960382297475	91.7256663114557	36.6740811495656	133.017756572558	34.4225	69.535	92.5575	148.485	29	71	93	151
2018	1	103.213495582125	76.5390856918345	142.325838503443	65.1941761681795	182.611780015197	78.521052631579	107.834210526316	127.784210526316	178.418421052632	72.5	112	131	183
2018	2	112.462718236929	80.8566204006972	160.514150362981	55.8627697906103	267.49325307554	75.8026315789474	102.686842105263	121.610526315789	175.505263157895	70	104	126.5	179
2018	3	124.781267182779	94.1112374213875	168.551213772191	85.4081549535097	212.279082546607	100.175	124.985	139.0525	178.555	109	128	142	182
