meetpunt	p01	p05	p10	p30	p50	p70	p90	p95	p99	groep3	ampl	groep3n
37	55.9988006142548	56.0943563587133	56.1632515819409	56.3171566091515	56.3874845995566	56.4394950100123	56.5043519422068	56.5343780276966	56.5904599464379	4	0.59165933218307	4
38	9.05547812698153	9.17976843614486	9.25716779111542	9.47192179680268	9.65785105219865	9.84453099964138	10.06026615079	10.1347384594727	10.2570881006996	4	1.20160997371805	4
39	62.0578271215428	62.0773219720537	62.0893892883098	62.1160512469833	62.1360181755875	62.1560863667268	62.1810028462759	62.1920800111534	62.2122565608059	3	0.154429439263147	2
40	16.5709267909642	16.6995432303689	16.7815015501636	17.008091469386	17.2161321456319	17.4562860658137	17.701227510373	17.7809046668855	17.9058319872181	2	1.33490519625389	4
41	15.8769128374327	15.9228974495123	15.9495094955899	16.0124271268064	16.0567228515395	16.0998422262718	16.1584706201334	16.1870706372894	16.2390797846349	4	0.362166947202109	3
42	4.73160725541157	4.81145838410377	4.86774985265228	5.03899771519335	5.17765055403215	5.2809742612703	5.36801576264929	5.40160839529772	5.46414979682981	4	0.732542541418236	4
43	1.00858109370763	1.17217806476809	1.26734859540569	1.51017278170009	1.7017509817791	1.87971025708883	2.09623686027632	2.18734887150361	2.34467471674112	3	1.3360936230335	4
44	20.768994141707	20.8616046671688	20.9195807933965	21.0590932646898	21.1641865473317	21.2744086710243	21.424467686353	21.4874219352321	21.5977624076974	3	0.828768265990412	4
45	30.9363542564818	31.0146380009203	31.0624949612612	31.1847405436361	31.2770817807715	31.3703822894255	31.4941195858213	31.5453636315027	31.6336932851046	3	0.69733902862281	4
46	21.1220537400147	21.1828808484728	21.2288179670456	21.364569348742	21.4499669559274	21.5003115377517	21.5481374070967	21.5684580960328	21.6041581142941	2	0.482104374279352	4
47	0.812514446693566	0.915584356907776	0.980611914935593	1.1438194889129	1.27561941381684	1.39903570129421	1.54205422176422	1.60394209564384	1.71023310678673	3	0.897718660093166	4
48	7.35660956721025	7.4110968309625	7.44838123383376	7.54931336774654	7.63122298755522	7.69370285537191	7.76710412995372	7.80182703140617	7.86831041503059	2	0.511700847820334	4
49	24.9922687332469	25.0392344091577	25.0759625140424	25.1820135888673	25.2329754245928	25.2640405172825	25.3002019551781	25.3158815409668	25.3420595506196	4	0.349790817372629	3
50	-1.37646772910966	-1.30254777544691	-1.25445054627081	-1.13432827781649	-1.04852652280171	-0.972801125760393	-0.882612371318726	-0.84533239480936	-0.782729876645471	2	0.593737852464186	4
51	4.48997866587065	4.56847389867129	4.6177564398496	4.75856281787708	4.89482643521275	5.05122078591716	5.19701831643879	5.24965303607075	5.32640726113307	4	0.836428595262422	4
52	4.3650710382538	4.44593476682588	4.49646118912305	4.64371158382703	4.77114464355864	4.91962849657089	5.07204758109603	5.1285968706343	5.21223331885854	4	0.847162280604739	4
53	13.9214006109597	14.068599107926	14.1584523797694	14.3830710912248	14.5660782274304	14.7679878502294	14.9994575670592	15.0916504169756	15.2526952631395	3	1.33129465217985	4
54	2.70209164639503	2.75737107702413	2.78974487628381	2.87103323479447	2.93256970908554	2.98926783477825	3.05998234498951	3.09323215624754	3.14983682468102	2	0.447745178285986	4
55	51.9055112106089	51.9770215887021	52.0223890010229	52.119848727064	52.1863681308014	52.2492781993916	52.3435175262704	52.3908458987851	52.4981771781584	2	0.592665967549593	4
56	62.6126098371696	62.7258758663329	62.8027699361742	63.018417210048	63.1713896188985	63.2832350763885	63.3876594809796	63.430600354284	63.5101645912485	3	0.897554754078925	4
57	65.6329748250928	65.7670120996604	65.8694353580581	66.1332887307674	66.2561292793241	66.3245977189918	66.4057257298776	66.4419376405434	66.5130190195803	3	0.880044194487539	4
58	45.4097456371381	45.4775278406604	45.5165778694795	45.6126038845732	45.6871486540427	45.7698128252741	45.8626442571398	45.8990678007414	45.962132958468	3	0.552387321329903	4
