unieknr	loc_code	x	y	rasterid	groupnr	area_code	area_name	loc_validitycode	loc_validity	loc_typecode	loc_typename	obswell_statecode	obswell_state	soilsurf_ost	measuringref_ost	tubelength	filterlength	filterdepth	typegroup_name	firstyear	lastyear	nryears	cat
62	MATP014	226291	182944	306	3	MAT	De Maten	2	1	1	1	3	1	48.72	49.05	1.81	0.5	1.23	2	2012	2016	5	3
63	MATP015	226040	183424	306	1	MAT	De Maten	2	1	1	1	3	1	49.24	49.66	1.3	0.5	0.63	5	2012	2016	5	3
64	MATP017	226823	183586	306	3	MAT	De Maten	2	1	1	1	3	1	50.921	51.431	1.61	0.5	0.85	2	2012	2016	5	3
65	MOLP018	167135	177145	454	4	MOL	Molenbeekvallei	2	1	1	1	3	1	25.3	25.82	2.01	0.3	1.34	4	2002	2013	8	3
66	MOLP022	166595	176767	454	4	MOL	Molenbeekvallei	2	1	1	1	3	1	27.476	27.886	1.9	0.3	1.34	4	2002	2013	8	3
67	MOLP023	166621	176753	454	4	MOL	Molenbeekvallei	2	1	1	1	3	1	26.979	27.339	2.02	0.3	1.51	4	2002	2013	8	3
68	MOLP024	166641	176739	454	4	MOL	Molenbeekvallei	2	1	1	1	3	1	26.794	27.234	2.02	0.3	1.43	4	2002	2013	8	3
69	MOLP025	166664	176724	454	4	MOL	Molenbeekvallei	2	1	1	1	3	1	26.695	27.095	2.02	0.3	1.47	4	2002	2013	8	3
70	MOMP001	218033	175477	230	3	MOM	Mombeekvallei	2	1	1	1	3	1	33.75	34.21	2.61	0.3	2	2	NA	NA	0	3
71	MOMP002	218031	175576	230	3	MOM	Mombeekvallei	2	1	1	1	3	1	33.554	33.964	2.61	0.3	2.05	2	NA	NA	0	3
72	MOMP003	217918	175452	230	3	MOM	Mombeekvallei	2	1	1	1	5	4	33.79	33.79	1.8	0.3	1.65	2	NA	NA	0	3
73	MOMP004	217913	175494	230	3	MOM	Mombeekvallei	2	1	1	1	5	4	33.63	33.63	1.8	0.3	1.65	2	NA	NA	0	3
74	MOMP010	218032	175555	230	3	MOM	Mombeekvallei	2	1	1	1	5	4	33.63	33.73	3	1	2.4	2	NA	NA	0	3
75	MOMP011	218028	175601	230	3	MOM	Mombeekvallei	2	1	1	1	3	1	33.63	34.02	3.32	0.3	2.78	2	NA	NA	0	3
76	MOMP012	218029	175631	230	3	MOM	Mombeekvallei	2	1	1	1	3	1	33.663	34.013	3.12	0.3	2.62	2	NA	NA	0	3
77	MOMP013	218029	175631	230	3	MOM	Mombeekvallei	2	1	1	1	7	7	33.784	33.994	3.13	0.3	2.77	2	NA	NA	0	3
78	MOMP020	220506	175297	50	3	MOM	Mombeekvallei	2	1	1	1	3	1	36.752	37.302	2.4	0.4	1.65	2	NA	NA	0	3
