rasterid	groupnr	gew_aantal_meetptn	loc_code	n_tubes	n_tubes_lgl	aantal_cat1A	aantal_cat1B	area_code	area_name	x	y	typegroup_name	filterdepth	soilsurf_ost
262	3	1	DYLP064	33	0	0	1	DYL	Dijlevallei	169296	166832	13	1.1	27.39
262	3	1	DYLP066	33	0	0	1	DYL	Dijlevallei	169359	167629	13	2.355	27.435
262	3	1	DYLP070	33	0	0	1	DYL	Dijlevallei	169294	167490	13	1.79	27.84
262	3	1	DYLP071	33	0	0	1	DYL	Dijlevallei	169297	167489	13	1.61	27.65
262	3	1	DYLP072	33	0	0	1	DYL	Dijlevallei	169307	167493	13	1.76	27.55
262	3	1	DYLP073	33	0	0	1	DYL	Dijlevallei	169323	167496	13	1.76	27.61
262	3	1	DYLP081	33	0	0	1	DYL	Dijlevallei	169188	167724	13	2.06	27.36
262	3	1	DYLP087	33	0	0	1	DYL	Dijlevallei	169145	166917	13	2.11	27.4
262	3	1	DYLP090	33	0	0	1	DYL	Dijlevallei	169171	167071	13	1.54	27.11
262	3	1	DYLP098	33	0	0	1	DYL	Dijlevallei	168836	166696	13	1.1	27.226
262	3	1	DYLP099	33	0	0	1	DYL	Dijlevallei	168981	166780	13	1.49	27.252
262	3	1	DYLP104	33	0	0	1	DYL	Dijlevallei	169342	166912	13	1.56	26.9
262	3	1	DYLP156	33	0	0	1	DYL	Dijlevallei	169478	166091	13	1.99	28.432
262	2	1	DYLP157	9	0	0	1	DYL	Dijlevallei	169469	166259	12	2	28.05
262	3	1	DYLP159	33	0	0	1	DYL	Dijlevallei	169361	168086	13	2.88	27.37
262	2	1	FLOP004	9	0	0	1	FLO	Vijvers van Florival	169013	161968	12	1.4	32.47
166	2	1	GOBP004	18	0	0	1	GOB	Gorenbroek	201885	184397	12	2.26	20.4131
46	5	1	GROP001	3	0	0	1	GRO	Grotenhoutbos	187160	220275	15	1.71	20.38
46	5	1	GROP002	3	0	0	1	GRO	Grotenhoutbos	187160	220370	15	1.98	20.56
478	3	1	GSCP001	22	0	0	1	GSC	Groot Schietveld	167638	229848	13	2.3	18.45
478	3	1	GSCP002	22	0	0	1	GSC	Groot Schietveld	167621	229841	13	1.98	18.53
478	3	1	GSCP003	22	0	0	1	GSC	Groot Schietveld	167616	229839	13	2.55	18.02
478	3	1	GSCP006	22	0	0	1	GSC	Groot Schietveld	167534	229824	13	2.1	18.36
478	3	1	GSCP007	22	0	0	1	GSC	Groot Schietveld	167540	229836	13	2.12	18.43
478	3	1	GSCP008	22	0	0	1	GSC	Groot Schietveld	167490	229826	13	2.47	18.77
478	3	1	GSCP009	22	0	0	1	GSC	Groot Schietveld	167459	229809	13	1.7	0.8
478	3	1	GSCP010	22	0	0	1	GSC	Groot Schietveld	167656	229861	13	2.27	18.6
478	3	1	GSCP011	22	0	0	1	GSC	Groot Schietveld	167660	229863	13	2.2	18.45
478	3	1	GSCP012	22	0	0	1	GSC	Groot Schietveld	167675	229876	13	2.11	18.53
478	3	1	GSCP017	22	0	0	1	GSC	Groot Schietveld	167657	229201	13	1.91	19.01
478	3	1	GSCP018	22	0	0	1	GSC	Groot Schietveld	167646	229194	13	2.08	18.81
478	3	1	GSCP019	22	0	0	1	GSC	Groot Schietveld	167677	229190	13	2.2	18.71
478	3	1	GSCP020	22	0	0	1	GSC	Groot Schietveld	167682	229188	13	2.48	18.52
478	3	1	GSCP021	22	0	0	1	GSC	Groot Schietveld	167691	229182	13	1.92	18.89
478	3	1	GSCP024	22	0	0	1	GSC	Groot Schietveld	168020	229769	13	1.93	19.69
478	3	1	GSCP034	22	0	0	1	GSC	Groot Schietveld	165256	226975	13	1.22	23.53
478	3	1	GSCP035	22	0	0	1	GSC	Groot Schietveld	165244	226881	13	0.85	22.45
478	3	1	GSCP042	22	0	0	1	GSC	Groot Schietveld	165107	228843	13	2.039	20.62
478	3	1	GSCP050	22	0	0	1	GSC	Groot Schietveld	165107	228842	13	1.483	20.62
