loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	polygon_id	description_orig	patch_id	phab	certain	type	groupnr	rasterid	opp	filterdepth	soilsurf_ost	description	source.x	source.y	typegroup_name
ABEP042	ABE	Abeek	231054	204335	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27545	100% 6230,6410	1	100	0	55	3	18	4037	1.5	51.709	100% 6230,6410_mo	habitatmap_stdized + interpretation	habitatmap_stdized + interpretation	13
ABEP043	ABE	Abeek	231032	204357	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27543	100% rbbhc	1	100	1	68	3	18	1102	1.36	53.45	100% rbbhc	habitatmap_stdized	habitatmap_stdized	13
ABEP043	ABE	Abeek	231032	204357	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27545	100% 6230,6410	1	100	0	55	3	18	4037	1.36	53.45	100% 6230,6410_mo	habitatmap_stdized + interpretation	habitatmap_stdized + interpretation	13
ABEP044	ABE	Abeek	231093	204330	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27541	100% rbbmr	1	100	1	88	2	18	4717	2.04	50.832	100% rbbmr	habitatmap_stdized	habitatmap_stdized	12
ABEP045	ABE	Abeek	231081	204382	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27545	100% 6230,6410	1	100	0	55	3	18	4037	2.22	52.35	100% 6230,6410_mo	habitatmap_stdized + interpretation	habitatmap_stdized + interpretation	13
ABEP046	ABE	Abeek	231056	204396	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27545	100% 6230,6410	1	100	0	55	3	18	4037	1.57	53.211	100% 6230,6410_mo	habitatmap_stdized + interpretation	habitatmap_stdized + interpretation	13
ABEP047	ABE	Abeek	231013	204367	VLD	Gevalideerd	P	Peilbuis/Piëzometer	27543	100% rbbhc	1	100	1	68	3	18	1102	1.55	53.4	100% rbbhc	habitatmap_stdized	habitatmap_stdized	13
ABEP049	ABE	Abeek	229263	195819	VLD	Gevalideerd	P	Peilbuis/Piëzometer	9608	40% gh; 40% rbbkam; 10% 6230_ha; 10% rbbhc	2	40	1	71	5	978	21999	2	76.85	40% gh; 40% rbbkam; 10% 6230_ha; 10% rbbhc	habitatmap_stdized	habitatmap_stdized	15
ABEP049	ABE	Abeek	229263	195819	VLD	Gevalideerd	P	Peilbuis/Piëzometer	9608	40% gh; 40% rbbkam; 10% 6230_ha; 10% rbbhc	4	10	1	68	3	978	21999	2	76.85	40% gh; 40% rbbkam; 10% 6230_ha; 10% rbbhc	habitatmap_stdized	habitatmap_stdized	13
ABEP107	ABE	Abeek	244825	206241	VLD	Gevalideerd	P	Peilbuis/Piëzometer	18070	70% rbbsf; 30% gh	1	70	1	109	3	402	23708	1.93	32.63	70% rbbsf; 30% gh	habitatmap_stdized	habitatmap_stdized	13
ABEP108	ABE	Abeek	244920	206371	VLD	Gevalideerd	P	Peilbuis/Piëzometer	18102	90% rbbmr; 10% rbbhf; 0% 3150	1	90	1	88	2	402	2729	2.85	33.63	90% rbbmr; 10% rbbhfl; 0% 3150	habitatmap_stdized + interpretation	habitatmap_stdized	12
ABEP108	ABE	Abeek	244920	206371	VLD	Gevalideerd	P	Peilbuis/Piëzometer	18102	90% rbbmr; 10% rbbhf; 0% 3150	2	10	1	70	3	402	2729	2.85	33.63	90% rbbmr; 10% rbbhfl; 0% 3150	habitatmap_stdized + interpretation	habitatmap_stdized + interpretation	13
ABEP109	ABE	Abeek	244859	206507	VLD	Gevalideerd	P	Peilbuis/Piëzometer	18110	90% rbbmr; 10% rbbhf; 0% 3150	1	90	1	88	2	402	1097	2.75	33.92	90% rbbmr; 10% rbbhfl; 0% 3150	habitatmap_stdized + interpretation	habitatmap_stdized	12
