loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	filterdepth	soilsurf_ost	polygon_id	description_orig	description	source.x	patch_id	phab	certain	type	source.y	groupnr	typegroup_name	rasterid	opp
ABEP041	ABE	Abeek	231078	204310	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.4	50.664	27541	100% rbbmr	292	1	1	100	1	88	habitatmap_stdized	2	12	18	4717
ABEP041	ABE	Abeek	231078	204310	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.4	50.664	27546	100% rbbmr	292	1	1	100	1	88	habitatmap_stdized	2	12	18	1550
ABEP041	ABE	Abeek	231078	204310	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.4	50.664	27547	100% rbbsf	304	1	1	100	1	109	habitatmap_stdized	3	13	18	884
ABEP042	ABE	Abeek	231054	204335	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.5	51.709	27543	100% rbbhc	255	1	1	100	1	68	habitatmap_stdized	3	13	18	1102
ABEP042	ABE	Abeek	231054	204335	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.5	51.709	27545	100% 6230,6410	107	2	1	100	0	55	habitatmap_stdized + interpretation	3	13	18	4037
ABEP043	ABE	Abeek	231032	204357	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.36	53.45	27543	100% rbbhc	255	1	1	100	1	68	habitatmap_stdized	3	13	18	1102
ABEP043	ABE	Abeek	231032	204357	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.36	53.45	27545	100% 6230,6410	107	2	1	100	0	55	habitatmap_stdized + interpretation	3	13	18	4037
ABEP044	ABE	Abeek	231093	204330	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.04	50.832	27541	100% rbbmr	292	1	1	100	1	88	habitatmap_stdized	2	12	18	4717
ABEP045	ABE	Abeek	231081	204382	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.22	52.35	27545	100% 6230,6410	107	2	1	100	0	55	habitatmap_stdized + interpretation	3	13	18	4037
ABEP046	ABE	Abeek	231056	204396	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.57	53.211	27542	60% rbbmc; 40% rbbmr	2818	1	1	60	1	87	habitatmap_stdized	2	12	18	744
ABEP046	ABE	Abeek	231056	204396	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.57	53.211	27542	60% rbbmc; 40% rbbmr	2818	1	2	40	1	88	habitatmap_stdized	2	12	18	744
ABEP046	ABE	Abeek	231056	204396	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.57	53.211	27545	100% 6230,6410	107	2	1	100	0	55	habitatmap_stdized + interpretation	3	13	18	4037
ABEP047	ABE	Abeek	231013	204367	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.55	53.4	27543	100% rbbhc	255	1	1	100	1	68	habitatmap_stdized	3	13	18	1102
ABEP048	ABE	Abeek	230629	203795	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.33	56.34	27563	60% rbbsf; 40% rbbmr	2980	1	1	60	1	109	habitatmap_stdized	3	13	18	2930
ABEP048	ABE	Abeek	230629	203795	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.33	56.34	27563	60% rbbsf; 40% rbbmr	2980	1	2	40	1	88	habitatmap_stdized	2	12	18	2930
ABEP049	ABE	Abeek	229263	195819	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	76.85	9608	40% gh; 40% rbbkam; 10% 6230_ha; 10% rbbhc	532	1	2	40	1	71	habitatmap_stdized	5	15	978	21999
ABEP049	ABE	Abeek	229263	195819	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	76.85	9608	40% gh; 40% rbbkam; 10% 6230_ha; 10% rbbhc	532	1	4	10	1	68	habitatmap_stdized	3	13	978	21999
ABEP107	ABE	Abeek	244825	206241	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1.93	32.63	18070	70% rbbsf; 30% gh	4368	1	1	70	1	109	habitatmap_stdized	3	13	402	23708
ABEP108	ABE	Abeek	244920	206371	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.85	33.63	18102	90% rbbmr; 10% rbbhf; 0% 3150	5858	2	1	90	1	88	habitatmap_stdized	2	12	402	2729
ABEP108	ABE	Abeek	244920	206371	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.85	33.63	18102	90% rbbmr; 10% rbbhf; 0% 3150	5858	2	2	10	1	70	habitatmap_stdized + interpretation	3	13	402	2729
ABEP109	ABE	Abeek	244859	206507	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.75	33.92	18110	90% rbbmr; 10% rbbhf; 0% 3150	5858	2	1	90	1	88	habitatmap_stdized	2	12	402	1097
ABEP109	ABE	Abeek	244859	206507	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.75	33.92	18110	90% rbbmr; 10% rbbhf; 0% 3150	5858	2	2	10	1	70	habitatmap_stdized + interpretation	3	13	402	1097
ABEP109	ABE	Abeek	244859	206507	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.75	33.92	38351	100% rbbmr	292	1	1	100	1	88	habitatmap_stdized	2	12	402	31261
ABEP116	ABE	Abeek	242112	208630	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2.55	33.72	17934	100% 9190	204	1	1	100	1	99	habitatmap_stdized	5	15	146	18792
