unieknr	loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	typegroup_name	rasterid	gew_aantal_meetptn	geselecteerd	reserve	filterdepth	soilsurf_ost	selectie
172	WESP014	WES	Westhoek	22737	199289	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	177	1	0	8	0.84	6.07	1
177	WESP119	WES	Westhoek	23171	198331	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	177	1	0	9	2.14	5.9	1
176	WESP111	WES	Westhoek	23304	198193	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	177	1	0	10	1.6	5.39	1
168	WESP003	WES	Westhoek	23288	198961	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	177	1	0	11	1.91	5.99	1
178	WESP134	WES	Westhoek	22885	198920	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	177	1	0	12	0.9	5.69	1
6	BELP010	BEL	de Belv<e9>d<e8>re	27947	199669	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	15	177	1	0	2	1.6	4.73	1
5	BELP004	BEL	de Belv<e9>d<e8>re	28016	199778	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	15	177	1	0	3	2.47	5.47	1
92	SHHP035	SHH	Schietveld Houthalen Hechteren	225904	194393	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	210	1	0	2	2.16	78.211	1
53	MOEP011	MOE	Moenebroeken	116115	166574	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	217	1	0	2	2.59	0.45	1
47	LAVP080	LAV	Laanvallei	169110	164590	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	12	262	1	0	2	1.85	29.68	1
19	DYLP021	DYL	Dijlevallei	169440	167581	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	262	1	0	2	2.21	28.21	1
42	IJSP003	IJS	Ijsevallei	163141	164523	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	262	1	0	3	0.98	7.04	1
18	DYLP020	DYL	Dijlevallei	169378	167510	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	262	1	0	4	1.99	27.48	1
46	LAVP060	LAV	Laanvallei	168105	164098	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	262	1	0	5	1.87	31.41	1
24	DYLP073	DYL	Dijlevallei	169323	167496	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	262	1	0	6	1.76	27.61	1
21	DYLP066	DYL	Dijlevallei	169359	167629	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	262	1	0	7	2.355	27.435	1
25	DYLP156	DYL	Dijlevallei	169478	166091	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	262	1	0	8	1.99	28.432	1
50	MATP003	MAT	De Maten	224779	181757	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	306	1	0	2	1.13	42.28	1
52	MATP015	MAT	De Maten	226040	183424	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	306	1	0	3	0.88	49.66	1
207	ZWIP014	ZWI	Zwinduinen en -polders	78202	228291	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	15	309	1	0	2	1.89	6.07	1
210	ZWIP042	ZWI	Zwinduinen en -polders	79233	228121	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	15	309	1	0	3	2.37	5	1
208	ZWIP033	ZWI	Zwinduinen en -polders	77640	228329	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	15	309	1	0	4	2.42	5.26	1
49	LDOP035	LDO	Langdonken	185221	191291	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	342	1	0	2	1.92	14.57	1
98	SNOP032	SNO	Snoekengracht	183056	169524	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	390	1	0	2	2.05	58.18	1
96	SNOP029	SNO	Snoekengracht	183348	169465	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	390	1	0	3	1.17	56.49	1
93	SNOP022	SNO	Snoekengracht	183102	169452	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	390	1	0	4	1.56	57.54	1
97	SNOP031	SNO	Snoekengracht	183313	169446	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	390	1	0	5	0.91	56.65	1
94	SNOP025	SNO	Snoekengracht	183238	169448	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	390	1	0	6	1.02	56.63	1
203	ZWAP335	ZWA	Zwarte Beek	208176	190160	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	438	1	0	2	2	25.49	1
202	ZWAP332	ZWA	Zwarte Beek	208201	190059	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	438	1	0	3	1.9	25.68	1
125	VDBP018	VDB	Vallei van de Drie Beken	202838	192210	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	438	1	0	4	2.06	22.487	1
55	MOLP018	MOL	Molenbeekvallei	167135	177145	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	454	1	0	2	1.49	25.82	1
58	MOLP025	MOL	Molenbeekvallei	166664	176724	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	454	1	0	3	1.62	27.095	1
57	MOLP024	MOL	Molenbeekvallei	166641	176739	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	454	1	0	4	1.58	27.234	1
144	VISP015	VIS	Visbeekvallei	180942	217539	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	470	1	0	2	1.141	17.511	1
145	VISP017	VIS	Visbeekvallei	181257	217859	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	470	1	0	3	1.59	17.991	1
28	GSCP007	GSC	Groot Schietveld	167540	229836	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	478	1	0	2	2.12	18.43	1
32	GSCP011	GSC	Groot Schietveld	167660	229863	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	478	1	0	3	2.2	18.45	1
34	GSCP020	GSC	Groot Schietveld	167682	229188	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	478	1	0	4	2.48	18.52	1
27	GSCP002	GSC	Groot Schietveld	167621	229841	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	478	1	0	5	1.98	18.53	1
29	GSCP008	GSC	Groot Schietveld	167490	229826	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	478	1	0	6	2.47	18.77	1
36	GSCP024	GSC	Groot Schietveld	168020	229769	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	478	1	0	7	1.93	19.69	1
35	GSCP021	GSC	Groot Schietveld	167691	229182	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	478	1	0	8	1.92	18.89	1
30	GSCP009	GSC	Groot Schietveld	167459	229809	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	478	1	0	9	1.7	0.8	1
