rasterid;groupnr;gew_aantal_meetptn;n_tubes;n_tubes_lg3;geom
 198;4;1;11;NA;list(c(161293.591973471, 161293.591973471, 169485.591973471, 169485.591973471, 161293.591973471, 185822.113583292, 177630.113583292, 177630.113583292, 185822.113583292, 185822.113583292))
 210;3;1; 6;NA;list(c(218637.591973471, 218637.591973471, 226829.591973471, 226829.591973471, 218637.591973471, 202206.113583292, 194014.113583292, 194014.113583292, 202206.113583292, 202206.113583292))
 217;3;1; 8;NA;list(c(112141.591973471, 112141.591973471, 120333.591973471, 120333.591973471, 112141.591973471, 169438.113583292, 161246.113583292, 161246.113583292, 169438.113583292, 169438.113583292))
 217;4;1; 4; 4;list(c(112141.591973471, 112141.591973471, 120333.591973471, 120333.591973471, 112141.591973471, 169438.113583292, 161246.113583292, 161246.113583292, 169438.113583292, 169438.113583292))
 233;1;1; 1; 1;list(c(144909.591973471, 144909.591973471, 153101.591973471, 153101.591973471, 144909.591973471, 202206.113583292, 194014.113583292, 194014.113583292, 202206.113583292, 202206.113583292))
 233;2;1; 1; 1;list(c(144909.591973471, 144909.591973471, 153101.591973471, 153101.591973471, 144909.591973471, 202206.113583292, 194014.113583292, 194014.113583292, 202206.113583292, 202206.113583292))
 262;2;1; 9;NA;"list(c(165965.591973471, 165965.591973471, 165933.591973471, 165933.591973471, 165901.591973471, 165901.591973471, 165869.591973471, 165869.591973471, 165837.591973471, 165837.591973471, 165805.591973471, 165805.591973471, 165581.591973471, 165581.591973471, 165549.591973471, 165549.591973471, 161293.591973471, 161293.591973471, 169485.591973471, 169485.591973471, 169453.591973471, 169421.591973471, 169421.591973471, 169389.591973471, 169389.591973471, 169357.591973471, 169357.591973471, 169325.591973471, 
169261.591973471, 169261.591973471, 169293.591973471, 169293.591973471, 169325.591973471, 169325.591973471, 169357.591973471, 169357.591973471, 169325.591973471, 169325.591973471, 169357.591973471, 169357.591973471, 169389.591973471, 169389.591973471, 169421.591973471, 169421.591973471, 169453.591973471, 169453.591973471, 169485.591973471, 169485.591973471, 169453.591973471, 169421.591973471, 169421.591973471, 169389.591973471, 169389.591973471, 169357.591973471, 169357.591973471, 169325.591973471, 
169261.591973471, 169261.591973471, 169229.591973471, 169101.591973471, 169101.591973471, 169133.591973471, 169133.591973471, 169101.591973471, 169101.591973471, 169069.591973471, 169069.591973471, 169037.591973471, 169037.591973471, 169005.591973471, 168941.591973471, 168941.591973471, 168973.591973471, 168973.591973471, 168941.591973471, 168941.591973471, 169005.591973471, 169005.591973471, 169101.591973471, 169101.591973471, 169069.591973471, 169037.591973471, 169037.591973471, 169005.591973471, 
168973.591973471, 168973.591973471, 168941.591973471, 168909.591973471, 168909.591973471, 168877.591973471, 168877.591973471, 168941.591973471, 168941.591973471, 168973.591973471, 168973.591973471, 169037.591973471, 169037.591973471, 169069.591973471, 169069.591973471, 169101.591973471, 169101.591973471, 169133.591973471, 169133.591973471, 169165.591973471, 169165.591973471, 169133.591973471, 169133.591973471, 169197.591973471, 169197.591973471, 169261.591973471, 169261.591973471, 169229.591973471, 
169165.591973471, 169165.591973471, 169197.591973471, 169197.591973471, 169229.591973471, 169229.591973471, 169261.591973471, 169261.591973471, 169293.591973471, 169293.591973471, 169325.591973471, 169325.591973471, 169389.591973471, 169389.591973471, 169453.591973471, 169453.591973471, 169485.591973471, 169485.591973471, 169453.591973471, 166221.591973471, 166221.591973471, 166189.591973471, 166189.591973471, 166221.591973471, 166221.591973471, 166189.591973471, 166189.591973471, 166157.591973471, 
166157.591973471, 166061.591973471, 166061.591973471, 165997.591973471, 165997.591973471, 166029.591973471, 166029.591973471, 165997.591973471, 165997.591973471, 165965.591973471, 161406.113583292, 161342.113583292, 161342.113583292, 161374.113583292, 161374.113583292, 161342.113583292, 161342.113583292, 161310.113583292, 161310.113583292, 161278.113583292, 161278.113583292, 161246.113583292, 161246.113583292, 161278.113583292, 161278.113583292, 161246.113583292, 161246.113583292, 169438.113583292, 
169438.113583292, 165406.113583292, 165406.113583292, 165406.113583292, 165438.113583292, 165438.113583292, 165470.113583292, 165470.113583292, 165438.113583292, 165438.113583292, 165438.113583292, 165374.113583292, 165374.113583292, 165310.113583292, 165310.113583292, 165278.113583292, 165278.113583292, 165246.113583292, 165246.113583292, 165214.113583292, 165214.113583292, 165150.113583292, 165150.113583292, 165022.113583292, 165022.113583292, 164798.113583292, 164798.113583292, 164734.113583292, 
164734.113583292, 163710.113583292, 163710.113583292, 163710.113583292, 163582.113583292, 163582.113583292, 163454.113583292, 163454.113583292, 163198.113583292, 163198.113583292, 163198.113583292, 163166.113583292, 163166.113583292, 163166.113583292, 163102.113583292, 163102.113583292, 163070.113583292, 163070.113583292, 163006.113583292, 163006.113583292, 162974.113583292, 162974.113583292, 162942.113583292, 162942.113583292, 162942.113583292, 162846.113583292, 162846.113583292, 162782.113583292, 
162782.113583292, 162750.113583292, 162750.113583292, 162718.113583292, 162718.113583292, 162686.113583292, 162686.113583292, 162686.113583292, 162654.113583292, 162654.113583292, 162654.113583292, 162590.113583292, 162590.113583292, 162590.113583292, 162526.113583292, 162526.113583292, 162430.113583292, 162430.113583292, 162398.113583292, 162398.113583292, 162366.113583292, 162366.113583292, 162334.113583292, 162334.113583292, 162302.113583292, 162302.113583292, 162270.113583292, 162270.113583292, 
162238.113583292, 162238.113583292, 162206.113583292, 162206.113583292, 162174.113583292, 162174.113583292, 162110.113583292, 162110.113583292, 162014.113583292, 162014.113583292, 162014.113583292, 161982.113583292, 161982.113583292, 161950.113583292, 161950.113583292, 161918.113583292, 161918.113583292, 161854.113583292, 161854.113583292, 161822.113583292, 161822.113583292, 161790.113583292, 161790.113583292, 161726.113583292, 161726.113583292, 161630.113583292, 161630.113583292, 161246.113583292, 
161246.113583292, 161246.113583292, 161278.113583292, 161278.113583292, 161310.113583292, 161310.113583292, 161374.113583292, 161374.113583292, 161406.113583292, 161406.113583292, 161470.113583292, 161470.113583292, 161502.113583292, 161502.113583292, 161438.113583292, 161438.113583292, 161374.113583292, 161374.113583292, 161406.113583292, 161406.113583292), c(165965.591973471, 165965.591973471, 165933.591973471, 165933.591973471, 165965.591973471, 161406.113583292, 161438.113583292, 161438.113583292, 
161406.113583292, 161406.113583292))"
 262;3;1;33;NA;"list(c(165965.591973471, 165965.591973471, 165933.591973471, 165933.591973471, 165901.591973471, 165901.591973471, 165869.591973471, 165869.591973471, 165837.591973471, 165837.591973471, 165805.591973471, 165805.591973471, 165581.591973471, 165581.591973471, 165549.591973471, 165549.591973471, 161293.591973471, 161293.591973471, 169485.591973471, 169485.591973471, 169453.591973471, 169421.591973471, 169421.591973471, 169389.591973471, 169389.591973471, 169357.591973471, 169357.591973471, 169325.591973471, 
169261.591973471, 169261.591973471, 169293.591973471, 169293.591973471, 169325.591973471, 169325.591973471, 169357.591973471, 169357.591973471, 169325.591973471, 169325.591973471, 169357.591973471, 169357.591973471, 169389.591973471, 169389.591973471, 169421.591973471, 169421.591973471, 169453.591973471, 169453.591973471, 169485.591973471, 169485.591973471, 169453.591973471, 169421.591973471, 169421.591973471, 169389.591973471, 169389.591973471, 169357.591973471, 169357.591973471, 169325.591973471, 
169261.591973471, 169261.591973471, 169229.591973471, 169101.591973471, 169101.591973471, 169133.591973471, 169133.591973471, 169101.591973471, 169101.591973471, 169069.591973471, 169069.591973471, 169037.591973471, 169037.591973471, 169005.591973471, 168941.591973471, 168941.591973471, 168973.591973471, 168973.591973471, 168941.591973471, 168941.591973471, 169005.591973471, 169005.591973471, 169101.591973471, 169101.591973471, 169069.591973471, 169037.591973471, 169037.591973471, 169005.591973471, 
168973.591973471, 168973.591973471, 168941.591973471, 168909.591973471, 168909.591973471, 168877.591973471, 168877.591973471, 168941.591973471, 168941.591973471, 168973.591973471, 168973.591973471, 169037.591973471, 169037.591973471, 169069.591973471, 169069.591973471, 169101.591973471, 169101.591973471, 169133.591973471, 169133.591973471, 169165.591973471, 169165.591973471, 169133.591973471, 169133.591973471, 169197.591973471, 169197.591973471, 169261.591973471, 169261.591973471, 169229.591973471, 
169165.591973471, 169165.591973471, 169197.591973471, 169197.591973471, 169229.591973471, 169229.591973471, 169261.591973471, 169261.591973471, 169293.591973471, 169293.591973471, 169325.591973471, 169325.591973471, 169389.591973471, 169389.591973471, 169453.591973471, 169453.591973471, 169485.591973471, 169485.591973471, 169453.591973471, 166221.591973471, 166221.591973471, 166189.591973471, 166189.591973471, 166221.591973471, 166221.591973471, 166189.591973471, 166189.591973471, 166157.591973471, 
166157.591973471, 166061.591973471, 166061.591973471, 165997.591973471, 165997.591973471, 166029.591973471, 166029.591973471, 165997.591973471, 165997.591973471, 165965.591973471, 161406.113583292, 161342.113583292, 161342.113583292, 161374.113583292, 161374.113583292, 161342.113583292, 161342.113583292, 161310.113583292, 161310.113583292, 161278.113583292, 161278.113583292, 161246.113583292, 161246.113583292, 161278.113583292, 161278.113583292, 161246.113583292, 161246.113583292, 169438.113583292, 
169438.113583292, 165406.113583292, 165406.113583292, 165406.113583292, 165438.113583292, 165438.113583292, 165470.113583292, 165470.113583292, 165438.113583292, 165438.113583292, 165438.113583292, 165374.113583292, 165374.113583292, 165310.113583292, 165310.113583292, 165278.113583292, 165278.113583292, 165246.113583292, 165246.113583292, 165214.113583292, 165214.113583292, 165150.113583292, 165150.113583292, 165022.113583292, 165022.113583292, 164798.113583292, 164798.113583292, 164734.113583292, 
164734.113583292, 163710.113583292, 163710.113583292, 163710.113583292, 163582.113583292, 163582.113583292, 163454.113583292, 163454.113583292, 163198.113583292, 163198.113583292, 163198.113583292, 163166.113583292, 163166.113583292, 163166.113583292, 163102.113583292, 163102.113583292, 163070.113583292, 163070.113583292, 163006.113583292, 163006.113583292, 162974.113583292, 162974.113583292, 162942.113583292, 162942.113583292, 162942.113583292, 162846.113583292, 162846.113583292, 162782.113583292, 
162782.113583292, 162750.113583292, 162750.113583292, 162718.113583292, 162718.113583292, 162686.113583292, 162686.113583292, 162686.113583292, 162654.113583292, 162654.113583292, 162654.113583292, 162590.113583292, 162590.113583292, 162590.113583292, 162526.113583292, 162526.113583292, 162430.113583292, 162430.113583292, 162398.113583292, 162398.113583292, 162366.113583292, 162366.113583292, 162334.113583292, 162334.113583292, 162302.113583292, 162302.113583292, 162270.113583292, 162270.113583292, 
162238.113583292, 162238.113583292, 162206.113583292, 162206.113583292, 162174.113583292, 162174.113583292, 162110.113583292, 162110.113583292, 162014.113583292, 162014.113583292, 162014.113583292, 161982.113583292, 161982.113583292, 161950.113583292, 161950.113583292, 161918.113583292, 161918.113583292, 161854.113583292, 161854.113583292, 161822.113583292, 161822.113583292, 161790.113583292, 161790.113583292, 161726.113583292, 161726.113583292, 161630.113583292, 161630.113583292, 161246.113583292, 
161246.113583292, 161246.113583292, 161278.113583292, 161278.113583292, 161310.113583292, 161310.113583292, 161374.113583292, 161374.113583292, 161406.113583292, 161406.113583292, 161470.113583292, 161470.113583292, 161502.113583292, 161502.113583292, 161438.113583292, 161438.113583292, 161374.113583292, 161374.113583292, 161406.113583292, 161406.113583292), c(165965.591973471, 165965.591973471, 165933.591973471, 165933.591973471, 165965.591973471, 161406.113583292, 161438.113583292, 161438.113583292, 
161406.113583292, 161406.113583292))"
 262;4;1;38;NA;"list(c(165965.591973471, 165965.591973471, 165933.591973471, 165933.591973471, 165901.591973471, 165901.591973471, 165869.591973471, 165869.591973471, 165837.591973471, 165837.591973471, 165805.591973471, 165805.591973471, 165581.591973471, 165581.591973471, 165549.591973471, 165549.591973471, 161293.591973471, 161293.591973471, 169485.591973471, 169485.591973471, 169453.591973471, 169421.591973471, 169421.591973471, 169389.591973471, 169389.591973471, 169357.591973471, 169357.591973471, 169325.591973471, 
169261.591973471, 169261.591973471, 169293.591973471, 169293.591973471, 169325.591973471, 169325.591973471, 169357.591973471, 169357.591973471, 169325.591973471, 169325.591973471, 169357.591973471, 169357.591973471, 169389.591973471, 169389.591973471, 169421.591973471, 169421.591973471, 169453.591973471, 169453.591973471, 169485.591973471, 169485.591973471, 169453.591973471, 169421.591973471, 169421.591973471, 169389.591973471, 169389.591973471, 169357.591973471, 169357.591973471, 169325.591973471, 
169261.591973471, 169261.591973471, 169229.591973471, 169101.591973471, 169101.591973471, 169133.591973471, 169133.591973471, 169101.591973471, 169101.591973471, 169069.591973471, 169069.591973471, 169037.591973471, 169037.591973471, 169005.591973471, 168941.591973471, 168941.591973471, 168973.591973471, 168973.591973471, 168941.591973471, 168941.591973471, 169005.591973471, 169005.591973471, 169101.591973471, 169101.591973471, 169069.591973471, 169037.591973471, 169037.591973471, 169005.591973471, 
168973.591973471, 168973.591973471, 168941.591973471, 168909.591973471, 168909.591973471, 168877.591973471, 168877.591973471, 168941.591973471, 168941.591973471, 168973.591973471, 168973.591973471, 169037.591973471, 169037.591973471, 169069.591973471, 169069.591973471, 169101.591973471, 169101.591973471, 169133.591973471, 169133.591973471, 169165.591973471, 169165.591973471, 169133.591973471, 169133.591973471, 169197.591973471, 169197.591973471, 169261.591973471, 169261.591973471, 169229.591973471, 
169165.591973471, 169165.591973471, 169197.591973471, 169197.591973471, 169229.591973471, 169229.591973471, 169261.591973471, 169261.591973471, 169293.591973471, 169293.591973471, 169325.591973471, 169325.591973471, 169389.591973471, 169389.591973471, 169453.591973471, 169453.591973471, 169485.591973471, 169485.591973471, 169453.591973471, 166221.591973471, 166221.591973471, 166189.591973471, 166189.591973471, 166221.591973471, 166221.591973471, 166189.591973471, 166189.591973471, 166157.591973471, 
166157.591973471, 166061.591973471, 166061.591973471, 165997.591973471, 165997.591973471, 166029.591973471, 166029.591973471, 165997.591973471, 165997.591973471, 165965.591973471, 161406.113583292, 161342.113583292, 161342.113583292, 161374.113583292, 161374.113583292, 161342.113583292, 161342.113583292, 161310.113583292, 161310.113583292, 161278.113583292, 161278.113583292, 161246.113583292, 161246.113583292, 161278.113583292, 161278.113583292, 161246.113583292, 161246.113583292, 169438.113583292, 
169438.113583292, 165406.113583292, 165406.113583292, 165406.113583292, 165438.113583292, 165438.113583292, 165470.113583292, 165470.113583292, 165438.113583292, 165438.113583292, 165438.113583292, 165374.113583292, 165374.113583292, 165310.113583292, 165310.113583292, 165278.113583292, 165278.113583292, 165246.113583292, 165246.113583292, 165214.113583292, 165214.113583292, 165150.113583292, 165150.113583292, 165022.113583292, 165022.113583292, 164798.113583292, 164798.113583292, 164734.113583292, 
164734.113583292, 163710.113583292, 163710.113583292, 163710.113583292, 163582.113583292, 163582.113583292, 163454.113583292, 163454.113583292, 163198.113583292, 163198.113583292, 163198.113583292, 163166.113583292, 163166.113583292, 163166.113583292, 163102.113583292, 163102.113583292, 163070.113583292, 163070.113583292, 163006.113583292, 163006.113583292, 162974.113583292, 162974.113583292, 162942.113583292, 162942.113583292, 162942.113583292, 162846.113583292, 162846.113583292, 162782.113583292, 
162782.113583292, 162750.113583292, 162750.113583292, 162718.113583292, 162718.113583292, 162686.113583292, 162686.113583292, 162686.113583292, 162654.113583292, 162654.113583292, 162654.113583292, 162590.113583292, 162590.113583292, 162590.113583292, 162526.113583292, 162526.113583292, 162430.113583292, 162430.113583292, 162398.113583292, 162398.113583292, 162366.113583292, 162366.113583292, 162334.113583292, 162334.113583292, 162302.113583292, 162302.113583292, 162270.113583292, 162270.113583292, 
162238.113583292, 162238.113583292, 162206.113583292, 162206.113583292, 162174.113583292, 162174.113583292, 162110.113583292, 162110.113583292, 162014.113583292, 162014.113583292, 162014.113583292, 161982.113583292, 161982.113583292, 161950.113583292, 161950.113583292, 161918.113583292, 161918.113583292, 161854.113583292, 161854.113583292, 161822.113583292, 161822.113583292, 161790.113583292, 161790.113583292, 161726.113583292, 161726.113583292, 161630.113583292, 161630.113583292, 161246.113583292, 
161246.113583292, 161246.113583292, 161278.113583292, 161278.113583292, 161310.113583292, 161310.113583292, 161374.113583292, 161374.113583292, 161406.113583292, 161406.113583292, 161470.113583292, 161470.113583292, 161502.113583292, 161502.113583292, 161438.113583292, 161438.113583292, 161374.113583292, 161374.113583292, 161406.113583292, 161406.113583292), c(165965.591973471, 165965.591973471, 165933.591973471, 165933.591973471, 165965.591973471, 161406.113583292, 161438.113583292, 161438.113583292, 
161406.113583292, 161406.113583292))"
 274;2;1; 2;NA;"list(c(218637.591973471, 218637.591973471, 226829.591973471, 226829.591973471, 223981.591973471, 223981.591973471, 223949.591973471, 223949.591973471, 223917.591973471, 223917.591973471, 223885.591973471, 223885.591973471, 223853.591973471, 223853.591973471, 223821.591973471, 223821.591973471, 223789.591973471, 223789.591973471, 223757.591973471, 223757.591973471, 223725.591973471, 223725.591973471, 223693.591973471, 223693.591973471, 223661.591973471, 223661.591973471, 223629.591973471, 223629.591973471, 
223597.591973471, 223597.591973471, 223565.591973471, 223565.591973471, 223533.591973471, 223533.591973471, 223501.591973471, 223501.591973471, 223469.591973471, 223469.591973471, 223437.591973471, 223437.591973471, 223405.591973471, 223405.591973471, 223373.591973471, 223373.591973471, 223341.591973471, 223341.591973471, 223309.591973471, 223309.591973471, 223277.591973471, 223277.591973471, 223245.591973471, 223245.591973471, 223213.591973471, 223213.591973471, 223117.591973471, 223117.591973471, 
223021.591973471, 223021.591973471, 222925.591973471, 222925.591973471, 222829.591973471, 222829.591973471, 222733.591973471, 222733.591973471, 222637.591973471, 222637.591973471, 222541.591973471, 222541.591973471, 222445.591973471, 222445.591973471, 222349.591973471, 222349.591973471, 222253.591973471, 222253.591973471, 222157.591973471, 222157.591973471, 222061.591973471, 222061.591973471, 221965.591973471, 221965.591973471, 221869.591973471, 221869.591973471, 221773.591973471, 221773.591973471, 
221645.591973471, 221645.591973471, 221517.591973471, 221517.591973471, 221389.591973471, 221389.591973471, 221293.591973471, 221293.591973471, 221165.591973471, 221165.591973471, 221037.591973471, 221037.591973471, 220877.591973471, 220877.591973471, 220781.591973471, 220781.591973471, 220653.591973471, 220653.591973471, 220525.591973471, 220525.591973471, 220429.591973471, 220429.591973471, 220301.591973471, 220301.591973471, 220205.591973471, 220205.591973471, 220077.591973471, 220077.591973471, 
219949.591973471, 219949.591973471, 219853.591973471, 219853.591973471, 219725.591973471, 219725.591973471, 219597.591973471, 219597.591973471, 219501.591973471, 219501.591973471, 219373.591973471, 219373.591973471, 218637.591973471, 218590.113583292, 210398.113583292, 210398.113583292, 218590.113583292, 218590.113583292, 218558.113583292, 218558.113583292, 218494.113583292, 218494.113583292, 218462.113583292, 218462.113583292, 218398.113583292, 218398.113583292, 218366.113583292, 218366.113583292, 
218302.113583292, 218302.113583292, 218270.113583292, 218270.113583292, 218206.113583292, 218206.113583292, 218174.113583292, 218174.113583292, 218110.113583292, 218110.113583292, 218078.113583292, 218078.113583292, 218046.113583292, 218046.113583292, 217982.113583292, 217982.113583292, 217950.113583292, 217950.113583292, 217918.113583292, 217918.113583292, 217854.113583292, 217854.113583292, 217822.113583292, 217822.113583292, 217790.113583292, 217790.113583292, 217726.113583292, 217726.113583292, 
217694.113583292, 217694.113583292, 217630.113583292, 217630.113583292, 217598.113583292, 217598.113583292, 217566.113583292, 217566.113583292, 217502.113583292, 217502.113583292, 217470.113583292, 217470.113583292, 217502.113583292, 217502.113583292, 217534.113583292, 217534.113583292, 217566.113583292, 217566.113583292, 217598.113583292, 217598.113583292, 217630.113583292, 217630.113583292, 217662.113583292, 217662.113583292, 217694.113583292, 217694.113583292, 217726.113583292, 217726.113583292, 
217758.113583292, 217758.113583292, 217790.113583292, 217790.113583292, 217822.113583292, 217822.113583292, 217854.113583292, 217854.113583292, 217886.113583292, 217886.113583292, 217918.113583292, 217918.113583292, 217950.113583292, 217950.113583292, 217982.113583292, 217982.113583292, 218014.113583292, 218014.113583292, 218046.113583292, 218046.113583292, 218078.113583292, 218078.113583292, 218110.113583292, 218110.113583292, 218142.113583292, 218142.113583292, 218174.113583292, 218174.113583292, 
218206.113583292, 218206.113583292, 218238.113583292, 218238.113583292, 218270.113583292, 218270.113583292, 218302.113583292, 218302.113583292, 218334.113583292, 218334.113583292, 218366.113583292, 218366.113583292, 218398.113583292, 218398.113583292, 218430.113583292, 218430.113583292, 218462.113583292, 218462.113583292, 218494.113583292, 218494.113583292, 218526.113583292, 218526.113583292, 218558.113583292, 218558.113583292, 218590.113583292, 218590.113583292))"
 306;1;1; 4; 4;list(c(218637.591973471, 218637.591973471, 226829.591973471, 226829.591973471, 218637.591973471, 185822.113583292, 177630.113583292, 177630.113583292, 185822.113583292, 185822.113583292))
 306;2;1; 1;NA;list(c(218637.591973471, 218637.591973471, 226829.591973471, 226829.591973471, 218637.591973471, 185822.113583292, 177630.113583292, 177630.113583292, 185822.113583292, 185822.113583292))
