unieknr	loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	typegroup_name	rasterid	cat	gew_aantal_meetptn	geselecteerd	reserve	filterdepth	soilsurf_ost
187	ZWIP217	ZWI	Zwinduinen en -polders	79750	228352	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	1	11	565	1	1	0	2	2	5.05
185	ZWIP210	ZWI	Zwinduinen en -polders	80185	228761	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	1	11	565	1	1	0	3	1.96	4.51
188	ZWIP218	ZWI	Zwinduinen en -polders	80145	228399	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	1	11	565	1	1	0	4	2.01	4.47
184	ZWIP209	ZWI	Zwinduinen en -polders	79771	228690	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	1	11	565	1	1	0	5	1.96	4.64
183	ZWIP204	ZWI	Zwinduinen en -polders	79694	228868	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	1	11	565	1	1	0	6	1.98	4.71
189	ZWIP220	ZWI	Zwinduinen en -polders	79710	228136	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	1	11	565	1	1	0	7	1.96	4.63
89	TLAP001	TLA	Terlaemen & Weijerman	213998	188072	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	694	1	1	0	2	2.27	32.923
73	SANP006	SAN	Schansbeemden	216032	191815	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	694	1	1	0	3	2.14	36.79
131	WELP022	WEL	Wellemeersen	128519	176887	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	1017	1	1	0	2	1.17	8.67
130	WELP020	WEL	Wellemeersen	128401	177063	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	1017	1	1	0	3	2.44	9.26
