rasterid	groupnr	gew_aantal_meetptn	loc_code	n_tubes	n_tubes_lgl	aantal_cat1A	aantal_cat1B	area_code	area_name	x	y	typegroup_name	selectie	n_tubes_zondermodel	filterdepth	soilsurf_ost
41	2	1	WAHP711	2	0	0	1	WAH	Waaslandhaven	144524	214863	12	-1	2	2.31	2.485
41	2	1	WAHP712	2	0	0	1	WAH	Waaslandhaven	144656	214876	12	-1	2	1.84	2.452
1017	3	1	WELP018	3	0	0	1	WEL	Wellemeersen	128284	176954	13	-1	3	2.63	9.24
1017	3	1	WELP020	3	0	0	1	WEL	Wellemeersen	128401	177063	13	-1	3	2.44	9.26
1017	3	1	WELP022	3	0	0	1	WEL	Wellemeersen	128519	176887	13	-1	3	1.17	8.67
89	4	1	ZWBP013	5	0	0	1	ZWB	Zwalmbeek	107282	173439	14	-1	5	3	20.23
89	4	1	ZWBP014	5	0	0	1	ZWB	Zwalmbeek	107312	173473	14	-1	5	3	20.17
89	4	1	ZWBP017	5	0	0	1	ZWB	Zwalmbeek	107421	173519	14	-1	5	3	32.07
53	5	1	ZWIP104	2	0	0	1	ZWI	Zwinduinen en -polders	75551	226763	15	-1	2	2.64	5.137
53	5	1	ZWIP108	2	0	0	1	ZWI	Zwinduinen en -polders	75653	226501	15	-1	2	1.05	5.351
565	1	1	ZWIP204	7	0	0	1	ZWI	Zwinduinen en -polders	79694	228868	11	-1	7	1.98	4.71
565	1	1	ZWIP209	7	0	0	1	ZWI	Zwinduinen en -polders	79771	228690	11	-1	7	1.96	4.64
565	1	1	ZWIP210	7	0	0	1	ZWI	Zwinduinen en -polders	80185	228761	11	-1	7	1.96	4.51
565	1	1	ZWIP213	7	0	0	1	ZWI	Zwinduinen en -polders	79544	228488	11	-1	7	1.99	4.71
565	1	1	ZWIP217	7	0	0	1	ZWI	Zwinduinen en -polders	79750	228352	11	-1	7	2	5.05
565	1	1	ZWIP218	7	0	0	1	ZWI	Zwinduinen en -polders	80145	228399	11	-1	7	2.01	4.47
565	1	1	ZWIP220	7	0	0	1	ZWI	Zwinduinen en -polders	79710	228136	11	-1	7	1.96	4.63
