loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	firstyear	lastyear	nryears	cat	gew_aantal_meetptn	n	rankclus_lastyear	rankclus_nryears	rankclus	beschikbaar_aantal_cluster	unieknr	geselecteerd	reserve	selectie	obswell_statecode	obswell_state	measuringref_ost	tubelength	filterlength
MOEP030	MOE	Moenebroeken	116473	166514	2	1	1	1	3	217	1.35	22.61	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	78	1	0	1	4	2	22.71	1.6	0.3
MOLP023	MOL	Molenbeekvallei	166621	176753	2	1	1	1	4	454	1.51	26.979	4	NA	NA	NA	3	1	NA	NA	NA	NA	NA	80	1	0	1	3	1	27.339	2.02	0.3
MOMP028	MOM	Mombeekvallei	222496	174765	2	1	1	1	3	50	2.94	39.194	2	NA	NA	NA	3	1	NA	NA	NA	NA	NA	84	1	0	-1	3	1	39.584	3.53	0.4
MOSP015	MOS	De Most	212551	207735	1	2	1	1	1	630	1.26	39.662	5	NA	NA	NA	3	1	NA	NA	NA	NA	NA	85	1	0	1	3	1	40.102	1.95	0.5
MSBP007	MSB	Molenstedebroek	194938	187299	2	1	1	1	2	54	1.664	18.587	3	NA	NA	NA	3	1	NA	NA	NA	NA	NA	91	1	0	-1	3	1	19.073	2.4	0.5
NEIP001	NEI	Neigembos	128122	167393	2	1	1	1	4	57	1.23	0	4	NA	NA	NA	3	1	NA	NA	NA	NA	NA	96	1	0	-1	3	1	0.31	1.79	0.5
ORCP011	ORC	De Orchis	139864	196932	2	1	1	1	3	745	1.14	4.793	2	NA	NA	NA	3	2	NA	NA	NA	NA	NA	100	1	0	1	4	2	5.903	2.4	0.3
ORCP012	ORC	De Orchis	139863	196973	2	1	1	1	3	745	0.95	4.89	2	NA	NA	NA	3	2	NA	NA	NA	NA	NA	101	1	0	1	4	2	4.9	1.11	0.3
PARP003	PAR	Parike-bos	109730	163542	2	1	1	1	4	985	1.98	54.05	4	NA	NA	NA	3	1	NA	NA	NA	NA	NA	104	1	0	1	3	1	54.27	2.45	0.5
RASP002	RAS	Raspaillebos	120111	162861	2	1	1	1	4	217	0.81	56.155	4	NA	NA	NA	3	1	NA	NA	NA	NA	NA	108	1	0	-1	3	1	56.755	1.66	0.5
