unieknr	loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	selectie	gew_aantal_meetptn	geselecteerd	reserve
139	VIEP173	VIE	Vierkensbroek-Demervallei	192713	188703	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	310	2.04	16.98	12	-1	1	0	2
135	VIEP106	VIE	Vierkensbroek-Demervallei	192282	188686	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	310	1.84	17.15	12	-1	1	0	3
136	VIEP107	VIE	Vierkensbroek-Demervallei	192278	188526	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	310	2.04	17.387	12	-1	1	0	4
138	VIEP118	VIE	Vierkensbroek-Demervallei	192266	188817	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	310	0.81	17.09	12	-1	1	0	5
140	VIEP174	VIE	Vierkensbroek-Demervallei	192711	188697	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	310	2.07	16.92	12	-1	1	0	6
141	VINP044	VIN	Het Vinne	203993	170797	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	486	1.46	26.181	12	-1	1	0	2
142	VINP084	VIN	Het Vinne	203095	170251	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	486	2.13	26.64	12	-1	1	0	3
4	ARHP010	ARH	Aronst Hoek	203804	177070	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	2	486	2.3	24.191	12	-1	1	0	4
217	ZWIP217	ZWI	Zwinduinen en -polders	79750	228352	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	1	565	2	5.05	11	-1	1	0	2
215	ZWIP210	ZWI	Zwinduinen en -polders	80185	228761	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	1	565	1.96	4.51	11	-1	1	0	3
218	ZWIP218	ZWI	Zwinduinen en -polders	80145	228399	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	1	565	2.01	4.47	11	-1	1	0	4
214	ZWIP209	ZWI	Zwinduinen en -polders	79771	228690	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	1	565	1.96	4.64	11	-1	1	0	5
213	ZWIP204	ZWI	Zwinduinen en -polders	79694	228868	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	1	565	1.98	4.71	11	-1	1	0	6
219	ZWIP220	ZWI	Zwinduinen en -polders	79710	228136	ENT	Ingegeven	P	Peilbuis/Pi<eb>zometer	1	565	1.96	4.63	11	-1	1	0	7
100	TLAP001	TLA	Terlaemen & Weijerman	213998	188072	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	694	2.27	32.923	11	-1	1	0	2
84	SANP006	SAN	Schansbeemden	216032	191815	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	694	2.14	36.79	11	-1	1	0	3
157	WELP022	WEL	Wellemeersen	128519	176887	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	1017	1.17	8.67	13	-1	1	0	2
156	WELP020	WEL	Wellemeersen	128401	177063	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	1017	2.44	9.26	13	-1	1	0	3
