unieknr	loc_code	x	y	rasterid	groupnr	ser_length	ser_firstyear	ser_lastyear	ser_nryears	rest_aantal_meetptn	rankclus	rankclus_lastyear	rankclus_nryears	beschikbaar_aantal_cluster	gew_aantal_meetptn	aantal_cat1A	aantal_cat1B	n
119	WESP302	23338	199132	177	4	9	2003	2011	9	1	1	1	1	20	1	0	0	1
120	ZIEP003	238289	181160	1010	1	11	2006	2016	10	1	1	1	1	3	1	0	0	2
121	ZWAP141	216785	198435	950	1	10	2007	2016	10	2	1	1	1	6	2	0	0	3
122	ZWAP165	216814	198362	950	1	10	2007	2016	10	2	1	1	1	6	2	0	0	3
123	ZWAP196	214282	197080	950	1	10	2007	2016	10	2	1	1	1	6	2	0	0	3
124	ZWAP200	217985	197987	950	1	12	2005	2016	12	2	1	1	1	6	2	0	0	1
125	ZWAP202	220114	197295	210	3	12	2004	2015	11	1	1	1	1	2	1	0	0	1
126	ZWAP208	218005	198226	950	1	13	2004	2016	13	2	1	1	1	6	2	0	0	1
127	ZWAP216	218514	198727	950	1	12	2004	2015	11	2	1	1	1	6	2	0	0	1
128	ZWAP228	217381	197149	950	3	8	2009	2016	8	1	1	1	1	2	1	0	0	1
129	ZWAP229	220479	196611	210	3	10	2007	2016	10	1	1	1	1	2	1	0	0	1
130	ZWAP234	217054	198920	950	3	5	2008	2012	5	1	1	1	1	2	1	0	0	1
131	ZWIP007	77881	227284	309	5	10	2004	2013	10	1	1	1	1	6	1	0	0	1
132	ZWIP014	78202	228291	309	5	9	2004	2012	9	1	1	1	1	6	1	0	0	1
133	ZWIP033	77640	228329	309	5	11	2005	2015	11	1	1	1	1	6	1	0	0	2
134	ZWIP036	78175	228584	309	5	11	2005	2015	10	1	1	1	1	6	1	0	0	2
135	ZWIP041	77028	227941	309	5	11	2005	2015	10	1	1	1	1	6	1	0	0	2
136	ZWIP042	79233	228121	309	5	11	2005	2015	11	1	1	1	1	6	1	0	0	2
