unieknr	polygon_id	description_orig	description	phab	certain	type	groupnr	typegroup_name	rasterid	opp	geselecteerd_basis	geselecteerd_reserve	source
38118	570302_v2018	90% gh; 10% 9130; 0% 7220	90% gh; 10% 9130_end; 0% 7220	10	1	9130_end	4	types van vochtig milieu	121	908243	1	1	habitatmap_stdized + interpretation
20562	504100_v2014	100% 1130; 100% 6430_hw	100% 1130; 100% 6430_hw	100	1	6430_hw	3	types van matig nat milieu	233	1581	0	1	habitatmap_stdized
20515	504183_v2014	100% 1130; 100% 6430_hw	100% 1130; 100% 6430_hw	100	1	6430_hw	3	types van matig nat milieu	233	7742	0	1	habitatmap_stdized
20478	621718_v2014	100% 1130; 30% 91E0_sf; 70% rbbmr	100% 1130; 30% 91E0_sf; 70% rbbmr	30	1	91E0_sf	3	types van matig nat milieu	233	28	0	1	habitatmap_stdized
20554	621978_v2014	100% 1130; 30% 91E0_sf; 70% rbbmr	100% 1130; 30% 91E0_sf; 70% rbbmr	30	1	91E0_sf	3	types van matig nat milieu	233	8232	0	1	habitatmap_stdized
20457	596526_v2014	60% gh; 20% rbbmr; 20% rbbsf	60% gh; 20% rbbmr; 20% rbbsf	20	1	rbbsf	3	types van matig nat milieu	233	160022	0	1	habitatmap_stdized
20489	671609_v2014	60% rbbmr; 30% rbbsf; 10% gh	60% rbbmr; 30% rbbsf; 10% gh	30	1	rbbsf	3	types van matig nat milieu	233	352939	1	1	habitatmap_stdized
38014	642245_v2014	70% 91E0_va; 30% 9130	70% 91E0_va; 30% 9130_end	30	1	9130_end	4	types van vochtig milieu	249	79189	1	1	habitatmap_stdized + interpretation
37863	642280_v2014	70% 91E0_va; 30% 9130	70% 91E0_va; 30% 9130_end	30	1	9130_end	4	types van vochtig milieu	249	26894	0	1	habitatmap_stdized + interpretation
58999	528648_v2018	100% 9130_end	100% 9130_end	100	1	9130_end	4	types van vochtig milieu	313	34418	0	1	habitatmap_stdized
59011	530094_v2018	100% 9130_end	100% 9130_end	100	1	9130_end	4	types van vochtig milieu	313	27825	0	1	habitatmap_stdized
59025	539386_v2018	100% 9130_end	100% 9130_end	100	1	9130_end	4	types van vochtig milieu	313	92351	0	1	habitatmap_stdized
59028	539398_v2018	100% 9130_end	100% 9130_end	100	1	9130_end	4	types van vochtig milieu	313	109273	1	1	habitatmap_stdized
59030	539400_v2018	100% 9130_end	100% 9130_end	100	1	9130_end	4	types van vochtig milieu	313	65621	0	1	habitatmap_stdized
59035	539555_v2018	100% 9130_end	100% 9130_end	100	1	9130_end	4	types van vochtig milieu	313	58870	0	1	habitatmap_stdized
59036	539556_v2018	100% 9130_end	100% 9130_end	100	1	9130_end	4	types van vochtig milieu	313	34208	0	1	habitatmap_stdized
59043	555279_v2018	100% 9130_end	100% 9130_end	100	1	9130_end	4	types van vochtig milieu	313	13703	0	1	habitatmap_stdized
59050	570020_v2018	100% 9130_end	100% 9130_end	100	1	9130_end	4	types van vochtig milieu	313	75094	0	1	habitatmap_stdized
59053	580962_v2018	100% 9130_end	100% 9130_end	100	1	9130_end	4	types van vochtig milieu	313	151255	0	1	habitatmap_stdized
59017	531285_v2018	90% 91E0_va; 10% 91E0_vc	90% 91E0_va; 10% 91E0_vc	90	1	91E0_va	4	types van vochtig milieu	313	9746	0	1	habitatmap_stdized
59019	531289_v2018	100% 91E0_va	100% 91E0_va	100	1	91E0_va	4	types van vochtig milieu	313	15267	0	1	habitatmap_stdized
48651	636164_v2014	70% 9120; 30% 9160	70% 9120; 30% 9160	30	1	9160	4	types van vochtig milieu	422	9799	0	1	habitatmap_stdized
48849	636165_v2014	70% 9120; 30% 9160	70% 9120; 30% 9160	30	1	9160	4	types van vochtig milieu	422	58457	0	1	habitatmap_stdized
48664	636712_v2014	70% 9120; 30% 9160	70% 9120; 30% 9160	30	1	9160	4	types van vochtig milieu	422	23715	0	1	habitatmap_stdized
48647	636790_v2014	70% 9120; 30% 9160	70% 9120; 30% 9160	30	1	9160	4	types van vochtig milieu	422	2815	0	1	habitatmap_stdized
48654	636839_v2014	70% 9120; 30% 9160	70% 9120; 30% 9160	30	1	9160	4	types van vochtig milieu	422	12004	0	1	habitatmap_stdized
48658	636980_v2014	70% 9120; 30% 9160	70% 9120; 30% 9160	30	1	9160	4	types van vochtig milieu	422	4841	0	1	habitatmap_stdized
48798	637025_v2014	70% 9120; 30% 9160	70% 9120; 30% 9160	30	1	9160	4	types van vochtig milieu	422	17500	0	1	habitatmap_stdized
48618	645318_v2014	70% 9160; 30% 9120	70% 9160; 30% 9120	70	1	9160	4	types van vochtig milieu	422	40205	1	1	habitatmap_stdized
48617	645382_v2014	70% 9160; 30% 9120	70% 9160; 30% 9120	70	1	9160	4	types van vochtig milieu	422	8830	0	1	habitatmap_stdized
48589	609073_v2014	100% 91E0_va	100% 91E0_va	100	1	91E0_va	4	types van vochtig milieu	422	2300	0	1	habitatmap_stdized
19700	113864_v2014	100% 1130; 100% rbbmr	100% 1130; 100% rbbmr	100	1	rbbmr	2	types van nat milieu	425	295	0	1	habitatmap_stdized
19582	559288_v2018	60% 91E0_sf; 100% 1130; 20% rbbmr	60% 91E0_sf; 100% 1130; 20% rbbmr	20	1	rbbmr	2	types van nat milieu	425	22530	0	1	habitatmap_stdized
19635	593632_v2014	70% rbbmr; 30% gh	70% rbbmr; 30% gh	70	1	rbbmr	2	types van nat milieu	425	15838	0	1	habitatmap_stdized
19640	632900_v2014	70% rbbmr; 30% 6430,rbbhf	70% rbbmr; 30% 6430_hf,rbbhf	70	1	rbbmr	2	types van nat milieu	425	4996	1	1	habitatmap_stdized + interpretation
19786	642667_v2014	70% 91E0_sf; 100% 1130; 30% rbbmr	70% 91E0_sf; 100% 1130; 30% rbbmr	30	1	rbbmr	2	types van nat milieu	425	9894	0	1	habitatmap_stdized
19719	666167_v2014	70% 91E0_sf; 100% 1130; 30% rbbmr	70% 91E0_sf; 100% 1130; 30% rbbmr	30	1	rbbmr	2	types van nat milieu	425	2122	0	1	habitatmap_stdized
19707	666299_v2014	100% 1130; 20% 91E0_sf; 80% rbbmr	100% 1130; 20% 91E0_sf; 80% rbbmr	80	1	rbbmr	2	types van nat milieu	425	7518	0	1	habitatmap_stdized
19774	666669_v2014	100% 1130; 30% rbbmr	100% 1130; 30% rbbmr	30	1	rbbmr	2	types van nat milieu	425	3649	0	1	habitatmap_stdized
6838	553318_v2018	100% 1130; 100% rbbmr	100% 1130; 100% rbbmr	100	1	rbbmr	2	types van nat milieu	445	906	0	1	habitatmap_stdized
6930	553648_v2018	100% 1130; 100% rbbmr	100% 1130; 100% rbbmr	100	1	rbbmr	2	types van nat milieu	445	1173	0	1	habitatmap_stdized
6935	553672_v2018	100% 1130; 100% rbbmr	100% 1130; 100% rbbmr	100	1	rbbmr	2	types van nat milieu	445	79	0	1	habitatmap_stdized
7012	562027_v2018	100% 1130; 100% rbbmr	100% 1130; 100% rbbmr	100	1	rbbmr	2	types van nat milieu	445	19860	0	1	habitatmap_stdized
7017	562265_v2018	100% 1130; 100% rbbmr	100% 1130; 100% rbbmr	100	1	rbbmr	2	types van nat milieu	445	215013	1	1	habitatmap_stdized
46398	537993_v2018	100% 9130_end	100% 9130_end	100	1	9130_end	4	types van vochtig milieu	505	1113	0	1	habitatmap_stdized
46736	627921_v2014	100% 9130_end	100% 9130_end	100	1	9130_end	4	types van vochtig milieu	505	2314	0	1	habitatmap_stdized
46668	648598_v2014	100% 9130_end	100% 9130_end	100	1	9130_end	4	types van vochtig milieu	505	780	0	1	habitatmap_stdized
46386	537973_v2018	100% 91E0_va	100% 91E0_va	100	1	91E0_va	4	types van vochtig milieu	505	3020	0	1	habitatmap_stdized
46387	537975_v2018	100% 91E0_va	100% 91E0_va	100	1	91E0_va	4	types van vochtig milieu	505	2188	0	1	habitatmap_stdized
46388	537976_v2018	100% 91E0_va	100% 91E0_va	100	1	91E0_va	4	types van vochtig milieu	505	5686	0	1	habitatmap_stdized
46394	537982_v2018	100% 91E0_va	100% 91E0_va	100	1	91E0_va	4	types van vochtig milieu	505	2464	0	1	habitatmap_stdized
46396	537990_v2018	100% 91E0_va	100% 91E0_va	100	1	91E0_va	4	types van vochtig milieu	505	1285	0	1	habitatmap_stdized
46397	537991_v2018	70% gh; 30% 91E0_va	70% gh; 30% 91E0_va	30	1	91E0_va	4	types van vochtig milieu	505	1728	0	1	habitatmap_stdized
46407	538028_v2018	100% 91E0_va	100% 91E0_va	100	1	91E0_va	4	types van vochtig milieu	505	549	0	1	habitatmap_stdized
46408	538030_v2018	95% 91E0_va; 5% rbbhf	95% 91E0_va; 5% rbbhf	95	1	91E0_va	4	types van vochtig milieu	505	4099	0	1	habitatmap_stdized
46434	562637_v2018	100% 91E0_va	100% 91E0_va	100	1	91E0_va	4	types van vochtig milieu	505	2525	0	1	habitatmap_stdized
46438	580846_v2018	100% 91E0_va	100% 91E0_va	100	1	91E0_va	4	types van vochtig milieu	505	3335	0	1	habitatmap_stdized
46741	611196_v2014	100% 91E0_va	100% 91E0_va	100	1	91E0_va	4	types van vochtig milieu	505	5365	0	1	habitatmap_stdized
46716	616411_v2014	70% gh; 30% 91E0_va	70% gh; 30% 91E0_va	30	1	91E0_va	4	types van vochtig milieu	505	4879	0	1	habitatmap_stdized
46715	616440_v2014	60% gh; 20% 6430,rbbhf,bos; 20% 91E0_va	60% gh; 20% 6430_hf,rbbhf,bos; 20% 91E0_va	20	1	91E0_va	4	types van vochtig milieu	505	6294	0	1	habitatmap_stdized + interpretation
46808	624641_v2014	70% 6430,rbbhf,bos; 30% 91E0_va	70% 6430_hf,rbbhf,bos; 30% 91E0_va	30	1	91E0_va	4	types van vochtig milieu	505	3289	0	1	habitatmap_stdized + interpretation
46731	624685_v2014	70% 6430,rbbhf,bos; 30% 91E0_va	70% 6430_hf,rbbhf,bos; 30% 91E0_va	30	1	91E0_va	4	types van vochtig milieu	505	2489	0	1	habitatmap_stdized + interpretation
46769	624864_v2014	70% 6430,rbbhf,bos; 30% 91E0_va	70% 6430_hf,rbbhf,bos; 30% 91E0_va	30	1	91E0_va	4	types van vochtig milieu	505	25905	0	1	habitatmap_stdized + interpretation
46739	625006_v2014	70% 6430,rbbhf,bos; 30% 91E0_va	70% 6430_hf,rbbhf,bos; 30% 91E0_va	30	1	91E0_va	4	types van vochtig milieu	505	6455	0	1	habitatmap_stdized + interpretation
46730	630226_v2014	100% 91E0_va	100% 91E0_va	100	1	91E0_va	4	types van vochtig milieu	505	3930	0	1	habitatmap_stdized
46740	630374_v2014	100% 91E0_va	100% 91E0_va	100	1	91E0_va	4	types van vochtig milieu	505	9201	0	1	habitatmap_stdized
46742	630400_v2014	70% 91E0_va; 30% rbbsf	70% 91E0_va; 30% rbbsf	70	1	91E0_va	4	types van vochtig milieu	505	3405	0	1	habitatmap_stdized
46733	630435_v2014	70% 91E0_va; 30% 91E0_vn	70% 91E0_va; 30% 91E0_vn	70	1	91E0_va	4	types van vochtig milieu	505	2135	0	1	habitatmap_stdized
46735	630452_v2014	100% 91E0_va	100% 91E0_va	100	1	91E0_va	4	types van vochtig milieu	505	6583	0	1	habitatmap_stdized
46758	651657_v2014	100% 91E0_va	100% 91E0_va	100	1	91E0_va	4	types van vochtig milieu	505	2417	0	1	habitatmap_stdized
46757	651814_v2014	100% 91E0_va	100% 91E0_va	100	1	91E0_va	4	types van vochtig milieu	505	5107	0	1	habitatmap_stdized
46762	651909_v2014	100% 91E0_va	100% 91E0_va	100	1	91E0_va	4	types van vochtig milieu	505	13775	1	1	habitatmap_stdized
46759	661676_v2014	100% 91E0_va	100% 91E0_va	100	1	91E0_va	4	types van vochtig milieu	505	2736	0	1	habitatmap_stdized
46524	662040_v2014	100% 91E0_va	100% 91E0_va	100	1	91E0_va	4	types van vochtig milieu	505	9502	0	1	habitatmap_stdized
11498	611780_v2014	100% 91E0_vn	100% 91E0_vn	100	1	91E0_vn	3	types van matig nat milieu	530	98772	1	1	habitatmap_stdized
11566	655898_v2014	100% 91E0_vn	100% 91E0_vn	100	1	91E0_vn	3	types van matig nat milieu	530	15669	0	1	habitatmap_stdized
11559	655955_v2014	100% 91E0_vn	100% 91E0_vn	100	1	91E0_vn	3	types van matig nat milieu	530	62197	0	1	habitatmap_stdized
11473	604215_v2014	100% 6430,rbbhf	100% 6430_hf,rbbhf	100	0	rbbhf	3	types van matig nat milieu	530	3648	0	1	habitatmap_stdized + interpretation
11487	608104_v2014	70% 6430,rbbhf; 30% rbbmc	70% 6430_hf,rbbhf; 30% rbbmc	70	0	rbbhf	3	types van matig nat milieu	530	7687	0	1	habitatmap_stdized + interpretation
11512	623518_v2014	60% rbbmr; 20% rbbsf; 20% gh	60% rbbmr; 20% rbbsf; 20% gh	20	1	rbbsf	3	types van matig nat milieu	530	3460	0	1	habitatmap_stdized
11523	641022_v2014	100% rbbsf	100% rbbsf	100	1	rbbsf	3	types van matig nat milieu	530	5397	0	1	habitatmap_stdized
11535	641258_v2014	100% rbbsf	100% rbbsf	100	1	rbbsf	3	types van matig nat milieu	530	26353	0	1	habitatmap_stdized
11600	642197_v2014	70% 9120; 30% rbbsf	70% 9120; 30% rbbsf	30	1	rbbsf	3	types van matig nat milieu	530	31072	0	1	habitatmap_stdized
11527	643088_v2014	70% rbbsf; 30% rbbmr	70% rbbsf; 30% rbbmr	70	1	rbbsf	3	types van matig nat milieu	530	14321	0	1	habitatmap_stdized
8442	553287_v2018	100% 1130; 100% rbbmr	100% 1130; 100% rbbmr	100	1	rbbmr	2	types van nat milieu	553	44588	1	1	habitatmap_stdized
46885	399849_v2014	80% gh; 20% 9130	80% gh; 20% 9130_end	20	1	9130_end	4	types van vochtig milieu	633	113524	0	1	habitatmap_stdized + interpretation
47009	571000_v2014	70% gh; 30% 9130_end	70% gh; 30% 9130_end	30	1	9130_end	4	types van vochtig milieu	633	62796	0	1	habitatmap_stdized
47027	571155_v2014	60% gh; 20% 9120; 10% 9130_end; 10% rbbmr	60% gh; 20% 9120; 10% 9130_end; 10% rbbmr	10	1	9130_end	4	types van vochtig milieu	633	20871	0	1	habitatmap_stdized
47029	596171_v2014	90% 9130_end; 10% gh	90% 9130_end; 10% gh	90	1	9130_end	4	types van vochtig milieu	633	171610	1	1	habitatmap_stdized
46960	634050_v2014	100% 9130_end	100% 9130_end	100	1	9130_end	4	types van vochtig milieu	633	5999	0	1	habitatmap_stdized
32703	516108_v2018	40% rbbsf; 20% rbbmc; 40% gh	40% rbbsf; 20% rbbmc; 40% gh	20	1	rbbmc	2	types van nat milieu	694	783	0	1	habitatmap_stdized
32732	516175_v2018	70% 7140_meso; 20% rbbmr; 10% rbbmc	70% 7140_meso; 20% rbbmr; 10% rbbmc	10	1	rbbmc	2	types van nat milieu	694	11577	0	1	habitatmap_stdized
32734	516176_v2018	50% rbbmr; 50% rbbmc	50% rbbmr; 50% rbbmc	50	1	rbbmc	2	types van nat milieu	694	1158	0	1	habitatmap_stdized
32567	506680_v2018	50% gh; 50% rbbmr	50% gh; 50% rbbmr	50	1	rbbmr	2	types van nat milieu	694	1771	0	1	habitatmap_stdized
32568	506771_v2018	95% gh; 5% rbbmr	95% gh; 5% rbbmr	5	1	rbbmr	2	types van nat milieu	694	2806	0	1	habitatmap_stdized
32570	506799_v2018	80% gh; 20% rbbmr	80% gh; 20% rbbmr	20	1	rbbmr	2	types van nat milieu	694	2478	0	1	habitatmap_stdized
32572	506974_v2018	95% gh; 5% rbbmr	95% gh; 5% rbbmr	5	1	rbbmr	2	types van nat milieu	694	1720	0	1	habitatmap_stdized
32574	506979_v2018	90% gh; 10% rbbmr	90% gh; 10% rbbmr	10	1	rbbmr	2	types van nat milieu	694	21028	0	1	habitatmap_stdized
32593	507788_v2018	100% rbbmr	100% rbbmr	100	1	rbbmr	2	types van nat milieu	694	7079	0	1	habitatmap_stdized
32610	508853_v2018	60% gh; 40% rbbmr	60% gh; 40% rbbmr	40	1	rbbmr	2	types van nat milieu	694	23146	0	1	habitatmap_stdized
32611	508854_v2018	90% 3130_na; 10% 3130_rbbmr	90% 3130_na; 10% 3130_rbbmr	10	0	rbbmr	2	types van nat milieu	694	2049	0	1	habitatmap_stdized
32612	508857_v2018	80% 3150; 20% 3150_rbbmr	80% 3150; 20% 3150_rbbmr	20	0	rbbmr	2	types van nat milieu	694	8703	0	1	habitatmap_stdized
32613	508859_v2018	50% 3150_rbbmr; 25% 3150; 25% 3140	50% 3150_rbbmr; 25% 3150; 25% 3140	50	0	rbbmr	2	types van nat milieu	694	5009	0	1	habitatmap_stdized
32614	508860_v2018	40% 3130_aom; 25% 3130_na; 25% 3140; 10% 3130_rbbmr	40% 3130_aom; 25% 3130_na; 25% 3140; 10% 3130_rbbmr	10	0	rbbmr	2	types van nat milieu	694	4687	0	1	habitatmap_stdized
32615	508861_v2018	70% 3150_rbbmr; 15% 3150; 15% 3140	70% 3150_rbbmr; 15% 3150; 15% 3140	70	0	rbbmr	2	types van nat milieu	694	2371	0	1	habitatmap_stdized
32653	515920_v2018	60% 3130_aom; 30% 3130_rbbmr; 10% rbbhf	60% 3130_aom; 30% 3130_rbbmr; 10% rbbhfl	30	0	rbbmr	2	types van nat milieu	694	8443	0	1	habitatmap_stdized + interpretation
32659	515992_v2018	70% 3130_na; 30% 3130_rbbmr	70% 3130_na; 30% 3130_rbbmr	30	0	rbbmr	2	types van nat milieu	694	26311	0	1	habitatmap_stdized
32661	515998_v2018	100% rbbmr	100% rbbmr	100	1	rbbmr	2	types van nat milieu	694	572	0	1	habitatmap_stdized
32672	516027_v2018	50% gh; 40% rbbhf; 10% rbbmr	50% gh; 40% rbbhfl; 10% rbbmr	10	1	rbbmr	2	types van nat milieu	694	1344	0	1	habitatmap_stdized + interpretation
32674	516031_v2018	100% rbbmr	100% rbbmr	100	1	rbbmr	2	types van nat milieu	694	446	0	1	habitatmap_stdized
32677	516039_v2018	50% 3130_aom; 25% 3130_na; 25% 3130_rbbmr	50% 3130_aom; 25% 3130_na; 25% 3130_rbbmr	25	0	rbbmr	2	types van nat milieu	694	9332	0	1	habitatmap_stdized
32678	516040_v2018	100% rbbmr	100% rbbmr	100	1	rbbmr	2	types van nat milieu	694	1366	0	1	habitatmap_stdized
32679	516045_v2018	100% rbbmr	100% rbbmr	100	1	rbbmr	2	types van nat milieu	694	5194	0	1	habitatmap_stdized
32680	516047_v2018	80% gh; 20% rbbmr	80% gh; 20% rbbmr	20	1	rbbmr	2	types van nat milieu	694	3902	0	1	habitatmap_stdized
32687	516067_v2018	70% 3130_na; 30% 3130_rbbmr	70% 3130_na; 30% 3130_rbbmr	30	0	rbbmr	2	types van nat milieu	694	10104	0	1	habitatmap_stdized
32688	516068_v2018	100% 3150_rbbmr	100% 3150_rbbmr	100	0	rbbmr	2	types van nat milieu	694	1722	0	1	habitatmap_stdized
32691	516072_v2018	70% 3150_rbbmr; 30% 3130_rbbmr	70% 3150_rbbmr; 30% 3130_rbbmr	30	0	rbbmr	2	types van nat milieu	694	9082	0	1	habitatmap_stdized
32693	516073_v2018	70% rbbmr; 30% 3130_rbbmr	70% rbbmr; 30% 3130_rbbmr	30	0	rbbmr	2	types van nat milieu	694	6267	0	1	habitatmap_stdized
32695	516074_v2018	70% 3130_rbbmr; 30% rbbmr	70% 3130_rbbmr; 30% rbbmr	30	1	rbbmr	2	types van nat milieu	694	4181	0	1	habitatmap_stdized
32698	516095_v2018	50% rbbmr; 50% gh	50% rbbmr; 50% gh	50	1	rbbmr	2	types van nat milieu	694	2213	0	1	habitatmap_stdized
32699	516098_v2018	90% gh; 10% rbbmr	90% gh; 10% rbbmr	10	1	rbbmr	2	types van nat milieu	694	1271	0	1	habitatmap_stdized
32705	516113_v2018	70% gh; 30% rbbmr	70% gh; 30% rbbmr	30	1	rbbmr	2	types van nat milieu	694	566	0	1	habitatmap_stdized
32709	516130_v2018	60% gh; 40% rbbmr	60% gh; 40% rbbmr	40	1	rbbmr	2	types van nat milieu	694	1638	0	1	habitatmap_stdized
32710	516135_v2018	80% gh; 20% rbbmr	80% gh; 20% rbbmr	20	1	rbbmr	2	types van nat milieu	694	1468	0	1	habitatmap_stdized
32711	516137_v2018	100% rbbmr	100% rbbmr	100	1	rbbmr	2	types van nat milieu	694	3773	0	1	habitatmap_stdized
32712	516139_v2018	100% rbbmr	100% rbbmr	100	1	rbbmr	2	types van nat milieu	694	567	0	1	habitatmap_stdized
32717	516151_v2018	80% gh; 20% rbbmr	80% gh; 20% rbbmr	20	1	rbbmr	2	types van nat milieu	694	2418	0	1	habitatmap_stdized
32719	516156_v2018	100% 3150_rbbmr	100% 3150_rbbmr	100	0	rbbmr	2	types van nat milieu	694	1350	0	1	habitatmap_stdized
32720	516158_v2018	100% rbbmr	100% rbbmr	100	1	rbbmr	2	types van nat milieu	694	972	0	1	habitatmap_stdized
32722	516160_v2018	40% 3150; 40% 3150_rbbmr; 20% 3130_rbbmr	40% 3150; 40% 3150_rbbmr; 20% 3130_rbbmr	20	0	rbbmr	2	types van nat milieu	694	3595	0	1	habitatmap_stdized
32725	516168_v2018	80% 3130_na; 20% 3130_rbbmr	80% 3130_na; 20% 3130_rbbmr	20	0	rbbmr	2	types van nat milieu	694	4281	1	1	habitatmap_stdized
32727	516173_v2018	25% 3130_na; 25% 3130_aom; 50% rbbmr	25% 3130_na; 25% 3130_aom; 50% rbbmr	50	1	rbbmr	2	types van nat milieu	694	5099	0	1	habitatmap_stdized
32729	516174_v2018	70% rbbmr; 30% 3150_rbbmr	70% rbbmr; 30% 3150_rbbmr	30	0	rbbmr	2	types van nat milieu	694	11739	0	1	habitatmap_stdized
32735	516204_v2018	70% gh; 30% rbbmr	70% gh; 30% rbbmr	30	1	rbbmr	2	types van nat milieu	694	898	0	1	habitatmap_stdized
32736	516229_v2018	90% gh; 10% rbbmr	90% gh; 10% rbbmr	10	1	rbbmr	2	types van nat milieu	694	24799	0	1	habitatmap_stdized
32737	516232_v2018	97% gh; 3% rbbmr	97% gh; 3% rbbmr	3	1	rbbmr	2	types van nat milieu	694	51661	0	1	habitatmap_stdized
32738	516234_v2018	70% gh; 30% rbbmr	70% gh; 30% rbbmr	30	1	rbbmr	2	types van nat milieu	694	891	0	1	habitatmap_stdized
32740	516247_v2018	60% 3150; 40% 3150_rbbmr	60% 3150; 40% 3150_rbbmr	40	0	rbbmr	2	types van nat milieu	694	7542	0	1	habitatmap_stdized
32743	516255_v2018	80% gh; 20% rbbmr	80% gh; 20% rbbmr	20	1	rbbmr	2	types van nat milieu	694	6317	0	1	habitatmap_stdized
32745	516264_v2018	100% rbbmr	100% rbbmr	100	1	rbbmr	2	types van nat milieu	694	3818	0	1	habitatmap_stdized
32746	516267_v2018	100% 3150_rbbmr	100% 3150_rbbmr	100	0	rbbmr	2	types van nat milieu	694	3580	0	1	habitatmap_stdized
