unieknr	loc_code	x	y	rasterid	groupnr	ser_length	ser_firstyear	ser_lastyear	ser_nryears	rest_aantal_meetptn	rankclus	rankclus_lastyear	rankclus_nryears	beschikbaar_aantal_cluster	gew_aantal_meetptn	aantal_cat1A	n
120	KALP357	156460	234019	734	5	NA	NA	0	0	1	1	1	1	4	1	0	4
121	KLUP003	119864	161359	217	4	NA	NA	0	0	1	1	1	1	4	1	0	4
122	LAAP003	218524	190066	694	3	NA	NA	0	0	1	1	1	1	4	1	0	4
123	LAVP024	166759	161765	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
124	LAVP048	167652	163370	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
125	LAVP056	168292	163913	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
126	LAVP059	168181	164052	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
127	LAVP060	168105	164098	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
128	LAVP072	168486	165366	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
129	LAVP073	168749	165502	262	2	NA	NA	0	0	1	1	1	1	9	1	0	9
130	LAVP080	169110	164590	262	2	NA	NA	0	0	1	1	1	1	9	1	0	9
131	LAVP085	169138	164207	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
132	LAVP136	166759	161765	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
133	LAVP142	167684	163351	262	3	NA	NA	0	0	1	1	1	1	33	1	0	33
134	LDOP019	184754	191421	342	1	9	2004	2012	8	1	1	1	1	4	1	0	1
135	LDOP035	185221	191291	342	1	12	2005	2016	9	1	1	1	1	4	1	0	1
136	LDOP036	185321	190835	342	1	8	2005	2012	6	1	1	1	1	4	1	0	1
137	LDOP042	184750	191415	342	1	10	2007	2016	6	1	1	1	1	4	1	0	1
138	LEUP001	201320	185975	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
139	LEUP101	201320	185975	54	3	NA	NA	0	0	1	1	1	1	21	1	0	21
140	MATP003	224779	181757	306	1	6	2011	2016	5	1	1	1	1	4	1	0	4
141	MATP010	225128	182769	306	1	5	2012	2016	5	1	1	1	1	4	1	0	4
142	MATP013	226425	182603	306	1	5	2012	2016	5	1	1	1	1	4	1	0	4
143	MATP015	226040	183424	306	1	5	2012	2016	5	1	1	1	1	4	1	0	4
144	MAYP029	193479	201817	822	3	NA	NA	0	0	1	1	1	1	14	1	0	14
145	MAYP030	193486	201836	822	3	NA	NA	0	0	1	1	1	1	14	1	0	14
146	MECP050	237195	185737	1010	1	10	2007	2016	10	1	1	1	1	3	1	0	2
147	MOEP011	116115	166574	217	3	NA	NA	0	0	1	1	1	1	8	1	0	8
148	MOEP012	116130	166513	217	3	NA	NA	0	0	1	1	1	1	8	1	0	8
149	MOEP013	116146	166429	217	3	NA	NA	0	0	1	1	1	1	8	1	0	8
150	MOEP016	116231	166332	217	3	NA	NA	0	0	1	1	1	1	8	1	0	8
151	MOEP030	116473	166514	217	3	NA	NA	0	0	1	1	1	1	8	1	0	8
152	MOLP018	167135	177145	454	4	5	2001	2005	5	1	1	1	1	5	1	0	5
153	MOLP022	166595	176767	454	4	5	2001	2005	5	1	1	1	1	5	1	0	5
