loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	firstyear	lastyear	nryears	cat
MSBP014	MSB	Molenstedebroek	195268	186601	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	54	2.2659999999999	19.376	12	NA	NA	0	3
NEIP001	NEI	Neigembos	128122	167393	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	57	1.48	0.31	14	2007	2010	4	3
NEIP002	NEI	Neigembos	128078	167410	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	57	1.1	0.45	14	2007	2010	4	3
NODP004	NOD	Noordduinen	28636	200385	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	177	2.73	7.59	15	2002	2006	5	3
NODP006	NOD	Noordduinen	27875	200717	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	177	2.83	10.09	15	2002	2006	5	3
NUCP004	NUC	De Nuchten	119819	165933	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	217	1.85	13.3734	13	2008	2008	1	3
NUCP005	NUC	De Nuchten	120097	165667	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	217	1.95	13.2946	13	2008	2008	1	3
ORCP002	ORC	De Orchis	139863	196974	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	745	0.84	4.92	13	2001	2002	2	3
ORCP003	ORC	De Orchis	139866	197010	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	745	0.8	4.87	13	2001	2002	2	3
OSKP026	OSK	Oostends krekengebied	51964	210700	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	113	2.56	3.922	15	2003	2009	5	3
OSKP038	OSK	Oostends krekengebied	54530	210938	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	113	2.09	3.155	15	2003	2009	5	3
PARP002	PAR	Parike-bos	109810	163492	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	985	2.27	63.82	14	2009	2010	2	3
PARP003	PAR	Parike-bos	109730	163542	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	985	2.23	54.27	14	2009	2012	4	3
RASP001	RAS	Raspaillebos	120085	162768	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	217	2.57	69.404	14	2003	2009	2	3
RASP002	RAS	Raspaillebos	120111	162861	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	217	1.06	56.755	14	2003	2012	3	3
RASP003	RAS	Raspaillebos	120002	163028	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	217	1.32	40.862	14	2003	2012	3	3
ROTP003	ROT	Rotbroek	200403	185618	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	166	1.44	19.546	12	2014	2016	3	3
SANP006	SAN	Schansbeemden	216032	191815	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	694	2.14	36.79	11	NA	NA	0	3
SBBP002	SBB	Steenbergse bossen	109983	170962	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	89	1.34	52.147	14	2003	2003	1	3
SBEP001	SBE	Schuddebeurze	38116	205439	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	817	2.38	5.63	15	2001	2012	12	3
SCPP021	SCP	Scheps	204705	204248	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	886	1.58	28.487	13	2008	2014	7	3
SCPP024	SCP	Scheps	206720	204096	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	886	1.27	30.899	13	2006	2012	7	3
SCPP025	SCP	Scheps	206960	204244	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	886	1.53	31.348	12	2006	2011	6	3
SCPP027	SCP	Scheps	205749	204186	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	886	1.86	29.612	11	2007	2012	5	3
SCPP033	SCP	Scheps	205281	204334	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	886	1.52	29.231	13	2008	2014	7	3
SCPP034	SCP	Scheps	205513	204333	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	2	886	1.13	29.538	12	2008	2014	7	3
SCPP035	SCP	Scheps	205616	204216	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	886	1.44	29.336	13	2008	2014	7	3
SCPP036	SCP	Scheps	205976	204000	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	886	1.78	29.94	13	2008	2014	7	3
