unieknr	loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	typegroup_name	rasterid	gew_aantal_meetptn	geselecteerd	reserve	filterdepth	soilsurf_ost	selectie
118	UKPP029	UKP	Uitkerkse Polder	64241	219799	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	693	1	1	0	2.5	2.2	1
123	UKPP039	UKP	Uitkerkse Polder	63031	220174	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	15	693	1	1	0	0.99	2.24	1
40	HBTP007	HBT	Helderbeekvallei Terril	212987	193133	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	694	1	1	0	1.76	33.971	1
75	ORCP011	ORC	De Orchis	139864	196932	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	745	2	1	0	1.29	5.903	1
76	ORCP012	ORC	De Orchis	139863	196973	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	745	2	1	0	1.1	4.9	1
114	TYDP204	TYD	Ter Yde	33222	203448	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	817	1	1	0	2.04	5.6	1
107	TYDP050	TYD	Ter Yde	32403	204128	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	5	15	817	1	1	0	3	6.932	1
166	WERP012	WER	De Werft	192332	194448	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	822	1	1	0	2.21	0.11	1
184	ZABP014	ZAB	Zammelsbroek	191421	198803	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	822	1	1	0	1.5	16.04	1
129	VENP005	VEN	De Vennen	208256	206362	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	886	1	1	0	1.16	32.88	1
89	SCPP042	SCP	Scheps	205315	204593	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	886	1	1	0	1.41	29.69	1
148	VRIP013	VRI	Vrieselhof	166733	212477	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	918	1	1	0	1.76	8.16	1
188	ZWAP141	ZWA	Zwarte Beek	216785	198435	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	950	2	1	0	2.11	52.86	1
191	ZWAP216	ZWA	Zwarte Beek	218514	198727	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	1	11	950	2	1	0	1.29	58.78	1
192	ZWAP228	ZWA	Zwarte Beek	217381	197149	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	3	13	950	1	1	0	1.29	63.655	1
79	PARP003	PAR	Parike-bos	109730	163542	VLD	Gevalideerd	P	Peilbuis/Pi<eb>zometer	4	14	985	1	1	0	2.23	54.27	1
