jaar	gem_jaar	gem_og	gem_bg	og_jaar	bg_jaar	lengte_onder_p01_mean	lengte_onder_p05_mean	lengte_onder_p10_mean	lengte_onder_p30_mean	lengte_onder_p01_median	lengte_onder_p05_median	lengte_onder_p10_median	lengte_onder_p30_median	var_sim
2008	4.60501923991061	1.12400564418208	1.96055531374065	3.02798722043298	7.00339884423769	0.260048529859774	0.849874252386133	1.77008255841568	10.2663840112033	1e-16	1e-16	0.222528711391746	6.06863853755195	0.0457542429780008
2009	4.78461008460247	1.19713843173823	1.9725664304337	3.2351100366845	7.07626430077817	5.13110416056169	10.6470417325678	16.0352305173359	38.3567659908388	2.17081578044793	7.50203918226225	12.7581081965142	35.5470790489701	0.0398657440186914
2010	4.504988261921	1.14623518030333	1.89989852632812	3.08070206716148	6.58775785441191	3.22896760743083	7.08659301193579	10.7437998380182	26.076857968442	1.94330487727194	5.48679225390292	8.71753596179773	24.1115041177649	0.0375939989650899
2011	3.89574855646141	0.980202563402609	1.76320359661149	2.63081479496817	5.76888074531101	1.70324463473278	5.01132552578075	9.00721817825517	29.0387444497766	0.356231743038048	2.37307345831526	5.57889342643286	24.0268492541748	0.0401209563266714
2012	3.31909356158068	0.763930442064721	1.64343051530786	2.1335952350826	5.16329521616121	0.350365735596108	1.36320284366736	2.82683807089009	12.0077815984803	1e-16	0.376224354962696	1.58796925547496	9.87577475387598	0.0508279926920822
2013	3.0715529209093	0.643822610269488	1.60794532159965	1.88447652527437	5.00639685313824	0.648101437495985	2.66829860100797	5.45128842640279	19.516095322896	0.164574738587518	1.79795127588087	4.44456164244303	18.055208385601	0.0621263749122459
2014	3.21326377574068	0.672676866015327	1.67216058079239	1.93094566840946	5.34715412318778	0.168069570978994	0.865374860003064	2.0333018047561	11.3647171573773	1e-16	0.257032555565239	1.04925520973401	8.78964810265548	0.067514414576894
2015	3.91453098773173	0.895474541865951	1.84958073868713	2.40766957920183	6.36447500366388	2.43666906021348	6.52027385225046	10.687368233083	29.4977973749706	1.20035916894072	4.87651880966657	8.22843192387104	24.1668055673922	0.0614929223345612
2016	5.32423490073478	1.21599876844416	2.1376421744549	3.34165295566978	8.48307040086409	0.10200954564573	0.524086667317648	1.28005637725053	8.13158464770052	1e-16	0.000999740134040472	0.349661607576909	6.13697654870226	0.0564798115254612
2017	8.27445721895003	1.68300042129455	2.58619058812361	5.25881627764342	13.0194018298954	2.40713213525901	6.8158617872933	11.6255181213353	31.8939672528489	0.925660451822281	4.31272517037566	9.11242940166448	27.6898879785267	0.0534806606789271
2018	13.8566702092757	2.08816772310015	3.25433970673329	7.71677478563357	24.8818080898371	15.9381972351987	25.6412840343002	33.4372687654089	59.8074121130244	9.70679876322161	18.7916536493013	26.0367880408051	50.0275448141071	0.0891967647365981
