meetpunt	p01	p05	p10	p30	p50	p70	p90	p95	p99	groep3	ampl	groep3n
23	55.1461850136915	55.2065338662505	55.2486887450975	55.3436319123931	55.3436319123931	55.3436319123931	55.3436319123931	55.3436319123931	55.3436319123931	2	0.197446898701557	2
24	45.7044319338504	45.8189998980167	45.9002003313028	46.1752972064133	46.1752972064133	46.1752972064133	46.1752972064133	46.1752972064133	46.1752972064133	2	0.470865272562968	4
25	44.3083723627892	44.415179158743	44.4847602506756	44.6644358561101	44.6644358561101	44.6644358561101	44.6644358561101	44.6644358561101	44.6644358561101	3	0.35606349332091	3
26	22.341166189273	22.3782053520373	22.4022503580795	22.4709163217485	22.4709163217485	22.4709163217485	22.4709163217485	22.4709163217485	22.4709163217485	3	0.129750132475511	2
27	26.4068648624703	26.4881533073104	26.5482888849479	26.723414694995	26.723414694995	26.723414694995	26.723414694995	26.723414694995	26.723414694995	4	0.316549832524771	3
28	32.9641196122637	33.0533053713712	33.113961263825	33.2919620722437	33.2919620722437	33.2919620722437	33.2919620722437	33.2919620722437	33.2919620722437	3	0.327842459980005	3
29	39.3908594928954	39.4160426017128	39.4354100047795	39.4847961500684	39.4847961500684	39.4847961500684	39.4847961500684	39.4847961500684	39.4847961500684	2	0.0939366571730602	2
30	4.19120660462327	4.30100580992625	4.36398638881156	4.51587134356348	4.51587134356348	4.51587134356348	4.51587134356348	4.51587134356348	4.51587134356348	3	0.324664738940218	3
31	4.08603139927429	4.20530252804423	4.27590792719767	4.44352429211672	4.44352429211672	4.44352429211672	4.44352429211672	4.44352429211672	4.44352429211672	3	0.357492892842425	3
32	53.6506049545072	53.7235365109766	53.767636160959	53.8765449865279	53.8765449865279	53.8765449865279	53.8765449865279	53.8765449865279	53.8765449865279	4	0.225940032020745	2
33	18.8244460671049	18.9126250024677	18.9668717531991	19.0949422386574	19.0949422386574	19.0949422386574	19.0949422386574	19.0949422386574	19.0949422386574	2	0.270496171552566	3
34	27.890776116398	28.0493093735077	28.1579582492165	28.4840882626532	28.4840882626532	28.4840882626532	28.4840882626532	28.4840882626532	28.4840882626532	3	0.593312146255219	4
