jaar	mean	p02.5	p50	p97.5	simulatienr
1988	11.1141675260163	8.65311692156501	11.0880197016984	14.4727034930578	18
1988	9.04696773176949	7.01534226621224	9.02555136440353	11.8294388999948	19
1988	9.51140021027751	7.38332971091813	9.48845218335483	12.4266025138966	20
1989	82.8006151249371	65.7999650408757	82.5900419134832	105.74136190845	1
1989	87.5935011864981	70.1025155759832	87.3847904810503	110.973295526933	2
1989	86.7961226272114	69.5130972494814	86.5904064180991	109.878149432079	3
1989	79.5657654712318	63.1687381768965	79.3606303653441	101.7277498956	4
1989	85.07917320895	67.7086725364217	84.864252898926	108.483315847885	5
1989	80.3107142894277	63.8912754465998	80.1080824804837	102.437579628063	6
1989	81.8570409275578	65.0240155803573	81.6469907285866	104.591791955299	7
1989	87.672383858967	69.9648610338654	87.4562140071634	111.444166150565	8
1989	80.2011471868209	63.5863102425219	79.9912474211878	102.70274853455	9
1989	82.8814637963306	65.9620716215114	82.6718043459707	105.679249083226	10
1989	80.5473207166711	63.81967535132	80.3362253066518	103.214785975897	11
1989	92.9989214329241	74.3071399892931	92.7716089130241	118.054837715747	12
1989	79.3550339422609	63.0452879719615	79.1519145868114	101.377084066923	13
1989	78.4342080921224	62.5286676631853	78.2392889382054	99.8140848166313	14
1989	87.776270750782	69.9220278313284	87.556659938119	111.799895339838	15
1989	76.9700792780495	61.345486029452	76.779623727019	97.9705425294602	16
1989	84.246706240238	67.2961164693414	84.040917549245	106.972194878542	17
1989	84.749036498661	67.3980115411547	84.533440952937	108.150074816498	18
1989	86.6143663715439	68.9276151421143	86.3950344356002	110.44910234022	19
1989	81.4708207315176	64.6998353618261	81.2606495409418	104.134180229361	20
1990	97.2340013419515	76.9442894193096	96.9866635723904	124.700722889023	1
1990	106.649252865819	85.0621521158248	106.396558242216	135.568554468613	2
1990	106.432431308847	84.9413660130807	106.181603972411	135.20018000448	3
1990	96.065719191162	75.9055768881142	95.8198487577557	123.398947443274	4
1990	98.7553174797924	78.3318570575216	98.5046195630036	126.350278214924	5
1990	98.8764191562995	78.3030994249499	98.629025610218	126.681808502545	6
1990	100.442506093275	79.4300008722891	100.186682577959	128.904502650846	7
1990	104.877291437815	83.4142089770933	104.619092656191	133.760672362355	8
1990	98.0268186685444	77.4625752368098	97.7685962216226	125.958142538539	9
1990	100.792297510025	79.9019672852107	100.537424213349	129.023075243289	10
1990	95.8183274973118	75.616345424411	95.5681671737727	123.26942420834	11
1990	101.933825069329	81.1880984710541	101.683185612031	129.819745306184	12
1990	110.40426615798	87.4306156061196	110.124102751551	141.482092629638	13
1990	93.0586255933166	73.9744927985345	92.8264954245152	118.772504453948	14
1990	108.251982234591	85.9429336991957	107.980269344238	138.351880604266	15
1990	104.264951502306	82.7545296156649	104.008852952732	133.253752997644	16
1990	99.7749185120087	79.3834203234074	99.5316813282663	127.191993167503	17
1990	100.690935203724	79.7858531308058	100.436495069419	128.950061017092	18
1990	97.7130248507669	77.4482709559307	97.4643811143127	125.112898475422	19
1990	109.674012592904	86.8626822043784	109.390336239221	140.567497011247	20
1991	65.0109491869232	51.4217991098194	64.8460667644019	83.4098422868746	1
1991	67.2900414502012	53.661426658964	67.1302271522119	85.5525331214675	2
1991	64.1510996683977	51.1410627201504	63.9992971442129	81.585216056548	3
1991	67.7326892572893	53.5270488182404	67.558621370494	86.9955293075198	4
1991	62.5348998611266	49.5131512550148	62.3762973666906	80.1519837201235	5
1991	66.3335021672272	52.5503625396669	66.1665225143144	84.9638838744556	6
1991	65.8025350904435	51.9943125211901	65.635308859467	84.5150819489892	7
1991	62.8857447948354	49.9493809193674	62.7308113778334	80.3130067282924	8
1991	67.8596181210907	53.5572874162509	67.6819410131974	87.2962220909923	9
1991	70.9026080660478	56.1323602198645	70.7246121607316	90.8737372622864	10
1991	62.3153833537661	49.1669572748274	62.1514354487765	80.1936936595432	11
1991	66.3674583621719	52.8040237261289	66.2048463941956	84.6097088600532	12
1991	61.69366491791	48.756208059994	61.5366359171739	79.2255586458118	13
1991	63.5789223917941	50.5077349073321	63.4212576789452	81.1930130082275	14
1991	71.0648565749691	56.3953995054547	70.8871160830199	90.8591941969928	15
1991	69.2118262323545	54.895358105533	69.0421479411632	88.5134170850126	16
1991	67.4037241432146	53.6234087911426	67.2395053583031	85.9323922153762	17
1991	61.9654504331193	49.0796537344068	61.8087790268111	79.3905031874858	18
1991	70.6081702882961	55.9661981541254	70.4291795802022	90.4003363866014	19
1991	70.8343945646496	56.0398717564689	70.6516271841852	90.8840969184318	20
1992	24.6481788421572	19.347916694022	24.5848974306263	31.8720912437696	1
1992	23.7831616505511	18.8276637967886	23.726386036293	30.4630830527526	2
1992	29.3107761836464	23.2524415634597	29.2407936335337	37.4641450824959	3
1992	28.825876932828	22.662030694358	28.7508609863675	37.224100587396	4
1992	33.1233572844633	26.1293740085439	33.0392699775937	42.6127806144216	5
1992	25.8096947085137	20.3098387643788	25.7435316056574	33.2906444454713	6
1992	25.0734582629477	19.6920250331295	25.0081118101464	32.412040935272	7
1992	28.264562374169	22.3341050989379	28.1943538124972	36.2896253009474	8
1992	28.5797166673709	22.4074988109475	28.5041894613371	37.0152001059902	9
1992	30.01602998888	23.6547271092791	29.9397156277925	38.6544011263478	10
1992	28.019868095148	21.9714060848439	27.9455833462532	36.2871419588998	11
1992	30.2257118618715	23.9225569012002	30.1515862484685	38.7376981309273	12
1992	28.1314466669386	22.1377483176131	28.058811298494	36.2876065483848	13
1992	24.4976466875313	19.308304599096	24.4362127752631	31.5377859009955	14
1992	25.3342324087522	19.96201836692	25.2701477930407	32.6280191141144	15
1992	25.6635493385643	20.2484537904586	25.5989849194222	33.0055260051255	16
1992	25.2077418412155	19.9155231486101	25.1456389804563	32.3663488454059	17
1992	21.8193729277584	17.139565604895	21.7633344000801	28.1942967229137	18
1992	29.5700953370222	23.293747632415	29.4941802762584	38.1010581031295	19
1992	26.6100169988962	20.8932974072412	26.5407567817474	34.406699528568	20
1993	37.9788022584779	30.084804454723	37.8827997595309	48.6525940567633	1
1993	32.5657336705874	25.9699397660835	32.4890614411882	41.3995439334937	2
1993	37.2879570258529	29.7634215960648	37.2002368010196	47.3580311388176	3
1993	32.2662460393777	25.4996697691529	32.1840378990224	41.4365974395018	4
1993	34.0907378221119	27.0091492987139	34.0052538873234	43.659997648277	5
1993	34.6934068372752	27.4954957386732	34.6065301779143	44.4166220534028	6
1993	35.0442740835666	27.7345342491636	34.9550463635626	44.9396242229034	7
