jaar	gem_jaar	og_jaar	bg_jaar	gem_jaar_t	gem_og_t	gem_bg_t	var_sim	og_jaar_t	bg_jaar_t	rdag_onder_p01_mean	rdag_onder_p05_mean	rdag_onder_p10_mean	rdag_onder_p30_mean	rdag_onder_p01_median	rdag_onder_p05_median	rdag_onder_p10_median	rdag_onder_p30_median
2007	15.7498480680784	13.7495173902439	18.0411942562845	2.7568307187539	2.63764016404243	2.87474558367331	0.00480241887220389	2.62100372460525	2.89265771290255	9.49051724137931	19.5172413793103	38.8396551724138	102.877586206897	6	15	34	96.5
2008	16.2760274594871	14.2312473646543	18.6146065115784	2.78969331725322	2.67088516490533	2.90652519427775	0.00469177831271357	2.6554400656497	2.92394656885675	5.53879310344828	12.2991379310345	28.0827586206897	91.5939655172414	3	8	23	83
2009	16.9011246558726	14.8087581927784	19.2891268069084	2.8273801673996	2.70914950168372	2.94264162650804	0.00454670801281922	2.6952187755257	2.9595415592735	23.876724137931	45.3051724137931	87.1879310344828	204.128448275862	18	39	78	198
2010	17.6256207348799	15.4742937503277	20.0760378019351	2.86935356707843	2.75144096955705	2.98314038091276	0.00441095138831048	2.73918017942438	2.99952695473249	15.2646551724138	31.5620689655172	61.1818965517241	143.365517241379	12	27	55	140
2011	18.4645884107034	16.2390687678252	20.9951093902745	2.91585475781528	2.79811828429856	3.02855350250385	0.00429391120204862	2.78741999120674	3.04428952442382	34.0120689655172	54.4672413793103	86.4474137931035	169.148275862069	33	52	82	162
2012	19.4320371058166	17.1072186707571	22.0727912204282	2.96692310121928	2.84912077895945	3.07948010297593	0.00422649793835001	2.83950051891942	3.09434568351914	4.61293103448276	11.0215517241379	27.2672413793103	100.787068965517	1	6	21	95
2013	20.5797000990618	18.125902343381	23.3656812303185	3.02430515785375	2.90690523809818	3.13788383500416	0.00419607651087446	2.89734198396393	3.15126833174356	4.40689655172414	10.8491379310345	28.6956896551724	109.168103448276	2	6	22	104
2014	21.9537698576478	19.2986971084821	24.97412173751	3.0889388722753	2.97112005614	3.20599888161246	0.0043251617883679	2.96003758629959	3.21784015825102	11.2655172413793	23.073275862069	47.7258620689655	126.09224137931	5	16	43	128
2015	23.5902812499159	20.5678875260208	27.0568073044008	3.1608348157697	3.03794898778562	3.28611420379612	0.00489313199526362	3.02373100155214	3.29793862998727	8.63534482758621	21.2612068965517	50.8241379310345	147.4	6	18	46	146
2016	25.5215826834382	21.843477806844	29.8190237116679	3.2395244739297	3.10252640799558	3.38042426477487	0.00630420569678792	3.08390237843943	3.39514656941996	6.18620689655172	13.6379310344828	23.6103448275862	73.2439655172414	1	6	16	71
2017	27.7591668314611	23.0451233135404	33.4375014050862	3.3235661219123	3.1621406018444	3.48960065796262	0.00901646605171864	3.13745417714711	3.50967806667749	16.1629310344828	36.4922413793103	64.1784482758621	169.416379310345	13	32	56	164
2018	30.2871939822119	24.14051213864	37.998950231377	3.41072498232641	3.21722135100727	3.61176057753574	0.0133937578350017	3.18389143079811	3.63755853385471	78.9112068965517	111.296551724138	137.004310344828	199.894827586207	81	119	150	206
