jaar	mean	p02.5	p50	p97.5	simulatienr	groep3n
1987	9.31333500535814	6.74057597282635	9.28830765745875	13.0729812216074	10	3
1987	10.3272592279263	8.04106022092088	10.3147193731619	13.3546003339422	10	4
1987	29.3465806545856	22.8120805713129	29.2909689381694	38.175343487382	11	2
1987	17.0841383874022	12.6536104931021	17.0352833218374	23.453888271326	11	3
1987	12.2376111535149	9.60093763597574	12.2211343961693	15.7190054390695	11	4
1987	39.455157163982	31.2336964385144	39.3831768847804	50.37945581875	12	2
1987	14.4463078287408	10.4922122526562	14.4020652499491	20.248299773192	12	3
1987	11.3576261077273	8.82430363255684	11.3415576494687	14.7371188447468	12	4
1987	30.6389982185477	24.1178820958902	30.5863502235324	39.3167800522	13	2
1987	20.6436205861765	15.3934076879568	20.5864533174786	28.1356178917979	13	3
1987	13.3715755392916	10.5875736305935	13.3547328300265	17.0094268611245	13	4
1987	30.6191314447933	23.9194518111472	30.563835626139	39.6123922797085	14	2
1987	15.1840302793383	11.0413161361986	15.1371167547847	21.259932538594	14	3
1987	8.75231928240414	6.74270974821849	8.74292295332922	11.4284199191953	14	4
1987	28.0843906692052	22.1620316380106	28.0368447448935	35.9435187139425	15	2
1987	15.205494067119	11.4926354605266	15.1694823228274	20.3997381395889	15	3
1987	9.64107841601332	7.45958155433737	9.62947508503791	12.5450338587509	15	4
1987	32.8505253071314	26.0640260602742	32.7948125817169	41.8178465697686	16	2
1987	17.4353332257544	13.0016364695572	17.3873645505946	23.7598631099367	16	3
1987	12.156591123498	9.50131104934001	12.139532389238	15.6796345585687	16	4
1987	34.1124164660263	26.9477138996897	34.0520360042212	43.6333487277318	17	2
1987	22.9649004613264	17.106030290037	22.9027038409942	31.3218670723369	17	3
1987	12.2197444179155	9.52267296044475	12.2018722851565	15.8130979105216	17	4
1987	28.4894132993167	22.4593802992971	28.438382883184	36.5205675562503	18	2
1987	14.7775513357243	10.93342668944	14.7377286203514	20.2903082696523	18	3
1987	11.9673405784758	9.38064415925408	11.9515238120562	15.3829398660175	18	4
1987	31.7602234329997	24.7807117642863	31.7030485244078	41.1371588972988	19	2
1987	16.1362643385871	11.8129380909271	16.0879559181598	22.4277058989044	19	3
1987	8.70381586338421	6.72303998068225	8.69487924176502	11.3319314101905	19	4
1987	32.1261471283929	25.0852127575568	32.0658304916254	41.5997801459477	20	2
1987	11.2828341026786	8.2508053920521	11.2524212916219	15.6745026291692	20	3
1987	7.55934605387136	5.82660999825863	7.55346729658307	9.84763021253618	20	4
1988	38.0737922178819	29.7856159160162	38.0003216081393	49.2246263032293	1	2
1988	21.6502548041783	15.9352873916122	21.5839689712162	29.9429855038702	1	3
1988	24.4599280432361	19.5887506261926	24.4194767032673	30.8402705421797	1	4
1988	37.1826473505622	29.146640098028	37.1108134715183	47.9768443516561	2	2
1988	21.1491220319471	15.7448403914909	21.0859079589961	28.9071142334163	2	3
1988	32.9428488638539	26.3887130321969	32.8811237173986	41.5805453580285	2	4
1988	38.2941280928526	30.2929068933081	38.2233671629768	48.9384969511884	3	2
1988	21.9703429508118	16.4982107778631	21.9079182523196	29.7457062339697	3	3
1988	30.8936830856629	24.8250318929815	30.8390459229851	38.8488259274981	3	4
1988	36.5600093687643	28.3224893468289	36.486557135785	47.7548820159981	4	2
1988	15.2601508726941	11.3018680566918	15.2169487672909	20.9480206612429	4	3
1988	25.3000232489104	20.2347659919291	25.2557507014021	31.9609863440654	4	4
1988	41.5762547206206	33.0286682175652	41.5033939291192	52.8778576656515	5	2
1988	33.9225046610911	25.8942882729175	33.8281275583948	45.1654483992694	5	3
1988	23.875014782513	19.0906048855672	23.8341369072566	30.1606312311758	5	4
1988	37.4127220203455	29.4801753405634	37.3401770982621	48.0248641951405	6	2
1988	27.739467839142	21.0611349092879	27.6630189167258	37.126949543961	6	3
1988	18.4685313039574	14.680006286876	18.4388306362906	23.4540771940821	6	4
1988	35.77016725544	28.1205495262427	35.7026166884967	46.0095264493193	7	2
1988	26.7204408886077	19.9911570148286	26.6424916732541	36.3265793326208	7	3
1988	25.8048827230071	20.4175955468353	25.754676203687	32.9893001145076	7	4
1988	38.2703577255085	30.2647958769002	38.199079952069	48.9278189091162	8	2
1988	25.1006193846254	19.0461374221105	25.0284945832777	33.6376173417459	8	3
1988	24.5944024206375	19.5760613124876	24.5495108970602	31.2336785544878	8	4
