jaar	mean	p02.5	p50	p97.5	simulatienr	sd
1990	3.53276265740558	3.22461773210393	3.52943601155772	3.85985450190609	13	0.1618613992567
1990	3.46608573386917	3.14677758538639	3.46239422179499	3.80642709413004	14	0.168219557331841
1990	3.58051499227722	3.26285290144387	3.57717610928621	3.91724453340575	15	0.166739392356077
1990	3.5133656825161	3.1950221384373	3.50979639115683	3.85199819309678	16	0.167432370536399
1990	3.49032189995787	3.17762789656391	3.48702528741204	3.82182342497478	17	0.164146086880644
1990	3.51979049025007	3.20075553111684	3.51621063666145	3.85917719113206	18	0.167788705861883
1990	3.51527623720625	3.20369116299546	3.51197295574713	3.8456840872493	19	0.163596271955524
1990	3.57103547128557	3.25003987527788	3.56749388470775	3.91218515231429	20	0.168716971815929
1991	2.95354977908782	2.63027640562232	2.95107979334401	3.29106280496095	1	0.168396099099451
1991	2.96255481364429	2.63335415312209	2.95977331783226	3.30766579703758	2	0.171799979054072
1991	2.92423474160338	2.59882586873988	2.92147717948118	3.26540151337869	3	0.169839893588713
1991	2.9982103883896	2.67448899475429	2.99533770034167	3.33835255564698	4	0.169144453780606
1991	2.97423594379071	2.65394669210202	2.97148275152587	3.3102491098183	5	0.167225221937128
1991	2.9525604977267	2.62867951980519	2.9497672592281	3.29239886929982	6	0.169110819101305
1991	2.96984140851965	2.64585773931404	2.96725944141403	3.30865430819096	7	0.168887926198707
1991	2.97408202349979	2.64729564154906	2.97122683149715	3.31719355778639	8	0.170680785432094
1991	3.00122245809171	2.67968355733839	2.99856172619059	3.33799091798946	9	0.16773473482752
1991	3.03036484958509	2.6993832211927	3.02743350180253	3.37809707818557	10	0.172922895918506
1991	2.94280279869451	2.61857948935346	2.94004714742454	3.28277831929705	11	0.16922887024014
1991	3.01548740505869	2.68962145068932	3.01282267824351	3.35665138335428	12	0.169940200013737
1991	2.96160046677951	2.64091100843386	2.9589652586224	3.29735796182041	13	0.167272510114645
1991	2.97708426719713	2.65447563972101	2.97442107915358	3.31496274683595	14	0.16827565594058
1991	2.99739617231161	2.67460759944089	2.99451039612711	3.33668706720808	15	0.168698300573478
1991	3.0203529693116	2.69778719111948	3.01754195596862	3.35898510879876	16	0.168460914166009
1991	2.93426661296129	2.61464453478982	2.93160626747431	3.26909876824253	17	0.166756903028585
1991	2.94578030059323	2.61856055654517	2.94287885034703	3.28959350673176	18	0.170974716359173
1991	2.99219844837711	2.67380997479936	2.98962329887164	3.32533279223311	19	0.166021953224056
1991	3.02884845461037	2.70351185962478	3.02587153823285	3.37120669464774	20	0.170135592398948
1992	2.40334645257269	2.03259374526173	2.40234103402873	2.78008596285937	1	0.19062532910378
1992	2.31747466438059	1.93621986810668	2.31589867911842	2.70795819818122	2	0.196886578344476
1992	2.27615341132142	1.90251598133876	2.27421790351045	2.66094339042516	3	0.193405947446694
1992	2.34403159321181	1.97582043714424	2.34216388112281	2.72304601495874	4	0.190496726663028
1992	2.29041447128695	1.92745491443115	2.2883100365235	2.66534682204421	5	0.18812899995013
1992	2.33507667547103	1.97407471124567	2.33295246518187	2.70813684165837	6	0.187142195608485
1992	2.36171397837123	1.97648976090319	2.36063231173001	2.75338199461854	7	0.198249880514231
1992	2.33281310245604	1.96019133077786	2.3308737413875	2.71661195394161	8	0.192856885117025
1992	2.36777694363107	1.99514469799573	2.3662018861357	2.74963785788442	9	0.192462560431198
1992	2.38520371199719	2.00247953780475	2.383652557174	2.7771424109188	10	0.197557653822544
1992	2.30091788794397	1.92190828740187	2.29927314211211	2.6895064456336	11	0.195805138038463
1992	2.41251148686055	2.03527692855868	2.4114162958531	2.79624871477043	12	0.194076462084581
1992	2.36226844373288	2.00675002492883	2.36033682535196	2.72886690656528	13	0.184082971418858
1992	2.32965465430967	1.9397997323	2.3285692205686	2.72597398075267	14	0.200717148092328
1992	2.29089985708058	1.92804665961592	2.28844256623738	2.66796459424183	15	0.188682932658643
1992	2.3408362129149	1.96246892950587	2.33921429372949	2.72868074753645	16	0.195437187158
