meetpunt	p01	p05	p10	p30	p50	p70	p90	p95	p99	groep3	ampl	groep3n
39	20.0434165779677	20.1436157070152	20.2108642512629	20.3686068818779	20.4639977106364	20.5316479734873	20.6160083462845	20.6529480286166	20.7209391714116	4	0.6775225934439	4
40	56.0008812212463	56.0968130253131	56.1653743821232	56.3177064439296	56.3881398755293	56.4398008176231	56.5041006263088	56.5339996182539	56.5897706818261	4	0.588889460579708	4
41	9.06126601182831	9.18492970703369	9.2620596904304	9.47693036153452	9.66271534715578	9.84705869962942	10.062205022483	10.1385097414552	10.2637510373896	4	1.20248502556126	4
42	62.0581213589276	62.0777327044555	62.0896355979201	62.116452955216	62.1359854481071	62.1559892456177	62.1813029411517	62.1925826781919	62.2129028323844	3	0.154781473456865	2
43	16.5789586289931	16.7065121151043	16.7882182685024	17.0124830338722	17.2184968130888	17.456527506903	17.7016012860811	17.7812320670322	17.9063611029617	2	1.32740247396866	4
44	15.8795330240641	15.925313235009	15.9515306536076	16.0141730743698	16.0584350622765	16.1014047905754	16.1599853145427	16.1886562080819	16.2405384326587	4	0.361005408594671	3
45	4.7299018126177	4.80916828543845	4.86545676801446	5.03678540462317	5.17567363985562	5.27930104532531	5.36652506591535	5.40018606963646	5.46270389494907	4	0.732802082331366	4
46	1.0104536154249	1.173554440034	1.26881104771972	1.51046602331524	1.70104967685637	1.87835864177098	2.09444475561887	2.18540684462461	2.34264587395789	3	1.33219225853299	4
47	20.7719025944339	20.8642638687216	20.9222230476199	21.0607486806774	21.165462033415	21.2754951128389	21.4256951699972	21.4889886089745	21.5998848601709	3	0.82798226573707	4
48	30.9392201325126	31.0175612196149	31.065100225727	31.1857723005553	31.2777700003011	31.3713085286421	31.4954033949369	31.5465910438963	31.6347681209196	3	0.695547988407021	4
49	21.1271321980152	21.1870735434219	21.2331352326138	21.3656583270334	21.4515158544583	21.4999319223434	21.5483653206666	21.5691866992338	21.6057333847706	2	0.478601186755331	4
50	0.814395901767023	0.917673418038529	0.982462175522795	1.14586440312901	1.27709463805825	1.39916605218633	1.53998353389269	1.60137947393141	1.70673319059059	3	0.892337288823563	4
51	7.35932622975472	7.41387094921859	7.45090880780345	7.55104325658882	7.63185431894687	7.69393521886305	7.7672568424476	7.80205222722508	7.86870458997409	2	0.509378360219368	4
53	24.9945813136266	25.0416127076519	25.0782367649862	25.1827995399796	25.2334252003361	25.2642922387573	25.3002548959886	25.3158796777824	25.3418993925001	4	0.347318078873485	3
54	-1.37262030175475	-1.29876765122252	-1.25095982710932	-1.13205458651864	-1.04701495481964	-0.971777046569601	-0.882023195523841	-0.844940698680822	-0.782775511996896	2	0.589844789757849	4
55	4.48890965556634	4.56742302862699	4.61695652546943	4.75923911145397	4.8955991106604	5.05095000700823	5.19396905219458	5.24746237914786	5.32433619036763	4	0.835426534801297	4
56	4.3636894292545	4.44517994210788	4.4960571185452	4.64440789704723	4.77151624852208	4.91889374268235	5.06963628778703	5.12705324167518	5.2113766616171	4	0.847687232362601	4
57	13.9290087159359	14.0756765849096	14.1648304749907	14.3878544758044	14.570916652387	14.7712282018961	15.0016303787284	15.0937897617768	15.2555367601282	3	1.32652804419235	4
58	2.70316136794153	2.75796055830849	2.79045244450473	2.87070432364534	2.9314886993884	2.98837676260419	3.05939047639864	3.09230730622989	3.14859805217038	2	0.445436684228852	4
59	51.9043032509625	51.9767606416588	52.0227169677237	52.1201720179661	52.1873687351614	52.2507091393713	52.3456631104794	52.3930657620779	52.4970347507637	2	0.592731499801246	4
60	62.6179984984085	62.731196728544	62.8072606007134	63.0241027837163	63.1723242728618	63.2835212456015	63.3893331303456	63.4332720327601	63.5148684109568	3	0.896869912548226	4
61	65.6425006525959	65.7782725029824	65.87918653666	66.1341349405532	66.2555202553015	66.3234909762916	66.4056449883508	66.4420282917945	66.5116859725015	3	0.869185319905583	4
62	45.4130471583724	45.4810721020118	45.5203137984582	45.615150680723	45.689810275839	45.7712399194478	45.8652023990375	45.9023933940911	45.9669040570774	3	0.553856898704964	4
