loc_code	x	y	target_groupnr	description	type	certain	phab	groupnr	group_name	type_name	type_shortname	typeclass_name	selectie	typelevel	main_type	typeclass	hydr_class	hydr_class_name	hydr_class_shortname	groundw_dep	groundw_dep_name	groundw_dep_shortname	flood_dep	flood_dep_name	flood_dep_shortname	tag_1	tag_1_name	tag_1_shortname	tag_2	tag_2_name	tag_2_shortname	tag_3	tag_3_name	tag_3_shortname
KBRP060	145448	202168	2	100% rbbmr	rbbmr	1	100	2	3	88	88	8	1	1	49	8	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
KEVP015	229074	163350	3	100% 6430_hf,rbbhf	6430_hf	0	100	3	2	59	59	7	-1	2	33	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
KEVP015	229074	163350	3	100% 6430_hf,rbbhf	rbbhf	0	100	3	2	69	69	7	-1	1	37	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
LAVP080	169100	164579	3	100% 6430_hf,rbbhf,bos	6430_hf	0	100	3	2	59	59	7	1	2	33	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
LAVP080	169100	164579	3	100% 6430_hf,rbbhf,bos	rbbhf	0	100	3	2	69	69	7	1	1	37	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
LDOP019	184754	191421	1	70% 7140_cl; 25% 6230_hmo; 5% 6410_mo; 0% 3130_aom	6230_hmo	1	25	4	4	51	51	7	1	2	31	7	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
LDOP019	184754	191421	1	70% 7140_cl; 25% 6230_hmo; 5% 6410_mo; 0% 3130_aom	6410_mo	1	5	3	2	55	55	7	1	2	32	7	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
LDOP019	184754	191421	1	70% 7140_cl; 25% 6230_hmo; 5% 6410_mo; 0% 3130_aom	7140_meso	1	70	1	5	80	80	8	1	2	43	8	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
LDOP041	186424	191178	3	75% rbbhc; 20% rbbhf; 5% rbbms	rbbhc	1	75	3	2	68	68	7	1	1	36	7	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
LDOP041	186424	191178	3	75% rbbhc; 20% rbbhf; 5% rbbms	rbbhf	1	20	3	2	69	69	7	1	1	37	7	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
LDOP041	186424	191178	3	75% rbbhc; 20% rbbhf; 5% rbbms	rbbms	1	5	2	3	89	89	8	1	1	50	8	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOHP015	175526	211989	4	50% 9160; 50% 91E0_va	9160	1	50	4	4	98	98	10	1	1	56	10	2	2	2	2	2	2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOHP015	175526	211989	4	50% 9160; 50% 91E0_va	91E0_va	1	50	4	4	102	102	10	1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MANP029	220497	193374	1	70% 91E0_vm; 30% 9120	91E0_vm	1	70	1	5	104	104	10	1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MATP010	225128	182769	1	70% 91E0_vm; 30% rbbmr,bos	91E0_vm	1	70	1	5	104	104	10	1	2	58	10	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MATP010	225128	182769	1	70% 91E0_vm; 30% rbbmr,bos	rbbmr	0	30	2	3	88	88	8	1	1	49	8	3	3	3	3	3	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MATP011	225382	182289	3	50% 4010; 40% 4030; 10% rbbsm	4010	1	50	3	2	38	38	5	1	1	24	5	3	3	3	3	3	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
