jaar	mean	sd	p02.5	p50	p97.5	intercept	tijdvenster	gem_jaar	og_jaar	bg_jaar
1994	3.14730906486511	0.0389092937111855	3.07092930689529	3.14730342911572	3.22369766111913	2.28699326515198	2	23.2733531588781	21.5619310184933	25.1208370002647
1995	3.6464695930481	0.0387439131736755	3.57041505874299	3.64646306481347	3.72253870741293	2.28699326515198	2	38.3390743083844	35.5313376838491	41.3692854196631
1996	4.00590991973877	0.0383521318435669	3.93060385869144	4.00590959226194	4.08119590400012	2.28699326515198	2	54.9217760777558	50.9377275734858	59.2162444652524
1997	3.73679685592651	0.0384204797446728	3.66134536030508	3.73680103376325	3.8122013135931	2.28699326515198	2	41.9633599723563	38.9136605646164	45.2499386160259
1998	2.94930934906006	0.0389125868678093	2.87289415829225	2.94931420630881	3.02566935502197	2.28699326515198	2	19.0927627390396	17.6881364587963	20.6077940261307
1999	2.87480521202087	0.039153091609478	2.79794642246058	2.8748006368108	2.95166526577453	2.28699326515198	2	17.7219717581682	16.410911065144	19.1377967252329
2000	2.29088544845581	0.0404182933270931	2.21155938899601	2.29088003019503	2.37021367566844	2.28699326515198	2	9.88368530170622	9.12994242995432	10.6996783007823
2001	2.54318857192993	0.0409774780273438	2.46277719295787	2.54318121490563	2.62361335021839	2.28699326515198	2	12.7201655393856	11.7373632404175	13.7854453418557
2002	2.0654604434967	0.0425966270267963	1.98188504135245	2.06545343696505	2.14904726649168	2.28699326515198	2	7.88892946779372	7.25640873139496	8.57668320992453
2003	3.82012057304382	0.0383988842368126	3.74472598888429	3.82011920998963	3.89550100694935	2.28699326515198	2	45.6097072905642	42.2974156687446	49.180687057332
2004	3.61791110038757	0.0384558439254761	3.54238814185374	3.61791609236849	3.69338150894363	2.28699326515198	2	37.2596547956776	34.5493294476712	40.1804881721594
2005	3.77027273178101	0.0384392105042934	3.69478168370163	3.77027794617332	3.84571002963399	2.28699326515198	2	43.3918975717027	40.2367872825611	46.791896191748
2006	3.83847260475159	0.03839261084795	3.76308436064041	3.8384734259867	3.91383365234344	2.28699326515198	2	46.4544658940622	43.0810989138293	50.0906143563111
2007	3.02687549591064	0.038811944425106	2.95066384124224	3.02687789858863	3.10304801901363	2.28699326515198	2	20.6326649250199	19.118641259076	22.2657142779999
2008	2.51442408561707	0.0413752943277359	2.43318545972406	2.51443358950282	2.59558016658475	2.28699326515198	2	12.3594887217167	11.3951230327802	13.4043618687813
2009	3.87794423103333	0.0383784621953964	3.80258044356384	3.87794625207808	3.95327381313395	2.28699326515198	2	48.3247683275541	44.8166823308596	52.1056721426597
2010	4.04412412643433	0.0383387878537178	3.96884494334632	4.04412340584665	4.1193851108863	2.28699326515198	2	57.0611857561507	52.9233660359948	61.5214017915519
2011	3.84534573554993	0.0383920073509216	3.76995568610746	3.84534757796222	3.92070197100943	2.28699326515198	2	46.7748532852867	43.3781425389126	50.4358368498128
2012	3.32121920585632	0.0387940742075443	3.24504314651329	3.32122136793977	3.39735784495362	2.28699326515198	2	27.6940947863058	25.662817297429	29.8850347466343
2013	3.42916536331177	0.0387720949947834	3.35304733910929	3.42916198296176	3.50527939849042	2.28699326515198	2	30.850882722456	28.5897236153752	33.2907439367294
2014	3.12461423873901	0.0389970317482948	3.04805433542125	3.12461164800716	3.20116336929435	2.28699326515198	2	22.7511169009477	21.0743009861576	24.5610871974013
