mean	sd	p02.5	p50	p97.5	jaar	simulatienr	intercept
3.64604306221008	0.0590235255658627	3.53002021678786	3.64611599814324	3.76174399024618	2005	3	3.71592688560486
3.64113187789917	0.0589778125286102	3.52402331524609	3.6416309147677	3.75554437351852	2005	4	3.69567036628723
3.61375164985657	0.058286041021347	3.49906229576481	3.6138302028315	3.72797990511755	2005	5	3.69287395477295
3.66096663475037	0.0596297271549702	3.54353973754731	3.66110285956482	3.77759049132893	2005	6	3.72149610519409
3.65237212181091	0.0591543130576611	3.53579558031243	3.65253484881903	3.76807967682058	2005	7	3.71941351890564
3.66049265861511	0.0580699145793915	3.54605731530801	3.66063252296344	3.77416733263644	2005	8	3.73004460334778
3.61696863174438	0.0596612431108952	3.50066801707399	3.6166853746918	3.73490664287758	2005	9	3.67714214324951
3.61894488334656	0.0557542219758034	3.50830520425272	3.61933163502611	3.72745364646598	2005	10	3.70199537277222
3.64475440979004	0.0614332854747772	3.52581796750859	3.64414829733216	3.76710680335198	2005	11	3.68804025650024
3.66180491447449	0.0642039701342583	3.53839181548559	3.66083605155001	3.79078072935339	2005	12	3.68760991096497
3.65946102142334	0.0597892291843891	3.54278522617402	3.65920498189268	3.7775185166829	2005	13	3.72119665145874
3.6401035785675	0.0612356290221214	3.51983747463279	3.64016916257697	3.7600426293636	2005	14	3.70295977592468
3.65291571617126	0.058642003685236	3.53781449352395	3.65290691880585	3.76810063769158	2005	15	3.71337366104126
3.63190317153931	0.0586679838597775	3.51707391921547	3.63175441325488	3.74752690274667	2005	16	3.70851516723633
3.65457558631897	0.058496817946434	3.5394736420799	3.65468093446596	3.76911900460051	2005	17	3.71745824813843
3.62853097915649	0.0618720464408398	3.50863671367722	3.62798822029262	3.75160573257872	2005	18	3.67099618911743
3.65040850639343	0.0572428330779076	3.53744460378662	3.65061919215444	3.76216821790203	2005	19	3.72992753982544
3.63099694252014	0.0577847920358181	3.5172217569561	3.63111555706666	3.74416217809838	2005	20	3.7100567817688
3.67903184890747	0.0576487705111504	3.56545556538785	3.67919151265417	3.79165513863153	2006	1	3.7223174571991
3.65181565284729	0.0591260939836502	3.53706030545079	3.65137149682482	3.76924434657739	2006	2	3.70737457275391
3.66751146316528	0.058657094836235	3.552116041406	3.66760933273197	3.7824258413268	2006	3	3.71592688560486
3.66299486160278	0.0584468804299831	3.54690738249118	3.66348628291241	3.77640808290364	2006	4	3.69567036628723
3.6343629360199	0.0578434728085995	3.52049533976903	3.63446102060555	3.74768088528624	2006	5	3.69287395477295
3.68065476417542	0.0592898577451706	3.56385465039658	3.68080640675046	3.79660179626704	2006	6	3.72149610519409
3.67224264144897	0.0588226653635502	3.55631754618501	3.67240276521152	3.78731083966872	2006	7	3.71941351890564
3.68168258666992	0.0578067973256111	3.56773821525805	3.68183233373269	3.79481835640849	2006	8	3.73004460334778
3.63923525810242	0.0596939213573933	3.5229394357584	3.63891671795564	3.75739325112775	2006	9	3.67714214324951
3.63627123832703	0.0557139702141285	3.52553170672242	3.6367209045464	3.74449487688603	2006	10	3.70199537277222
3.66792058944702	0.0621207095682621	3.54823070423854	3.66710958640538	3.79225161554594	2006	11	3.68804025650024
3.68559074401855	0.0650271326303482	3.56122397140767	3.68436107983644	3.81703695178322	2006	12	3.68760991096497
