jaar,gem_jaar,og_jaar_trend,bg_jaar_trend,aantal dagen onder kritisch minimum,og_jaar_indicator,bg_jaar_indicator,tijdvenster
1989,41.729131875659874,35.603728798595064,48.908372966960876,47.17672413793103,39.69661053856674,54.65683773729533,2
1990,49.061114903499664,42.19262094002969,57.047724032018905,72.44741379310345,63.10036235030266,81.79446523590424,2
1991,40.85296896661976,35.799303778330604,46.620042772949844,48.307758620689654,39.135347418736636,57.48016982264267,2
1992,29.942344473103358,25.484863105122248,35.17947060762454,16.713793103448275,12.282067319602746,21.145518887293804,2
1993,26.076376249374377,21.73472063296518,31.28530657383332,17.989655172413794,13.099654641323106,22.879655703504483,2
1994,28.587234630753247,24.45927347995211,33.411866648597524,21.144827586206898,16.698271052158,25.591384120255796,2
1995,35.45106806678895,31.081760783130157,40.434589142009884,33.92413793103448,28.39887909068189,39.44939677138707,2
1996,39.862659266057726,34.60408083114838,45.92035290622351,56.561206896551724,49.282750129159005,63.83966366394444,2
1997,34.122071866125296,29.626846519423722,39.29934924642351,45.845689655172414,36.39619183585866,55.29518747448617,2
1998,23.89611718406121,20.53707917392001,27.804558361908065,20.376724137931035,14.005435490458407,26.748012785403663,2
1999,17.161050246458746,14.401584991383114,20.449252338384326,16.050862068965518,11.764271955236822,20.337452182694214,2
2000,14.042544578604364,11.589802106058908,17.014359385739848,7.877586206896551,5.631434887230032,10.12373752656307,2
2001,14.78470769650456,12.322246819812538,17.73926337197055,8.413793103448276,5.729958916854203,11.097627290042348,2
2002,19.51542679103877,16.665493919777045,22.85272099763179,4.743103448275862,3.0231043696161817,6.463102526935543,2
2003,29.671322088380812,25.850778724177967,34.0565119475112,46.24913793103448,40.57724674929378,51.92102911277519,2
2004,37.5561204820292,32.74098631441032,43.07940427072305,41.28362068965517,32.135176586927074,50.43206479238327,2
2005,40.329691819906174,35.4095844760117,45.93344051779177,47.92413793103448,37.653171814657455,58.195104047411505,2
2006,37.447828713020414,32.92902825282103,42.58673728701903,48.602586206896554,41.2950872435795,55.910085170213605,2
2007,32.36452735417562,27.548766842476425,38.0221240699652,21.6,15.742633148587554,27.45736685141245,2
2008,32.95553552417778,27.802226109056082,39.06404175784962,9.83448275862069,4.091755471652221,15.577210045589158,2
2009,40.01199091446331,34.92786302756138,45.83616855333481,51.387068965517244,43.69145594886636,59.082681982168126,2
2010,44.89842842448405,39.31479094280229,51.27507552873254,58.55344827586207,52.208058333287006,64.89883821843712,2
2011,41.81578349327779,36.61290783240545,47.758013571625234,49.84051724137931,41.23325710347933,58.44777737927929,2
2012,34.78126506949291,30.354217928256617,39.85398018468429,28.045689655172414,21.90580700970783,34.185572300637,2
2013,30.250177891845738,26.31995403590684,34.76728193521651,28.77413793103448,23.310783788865166,34.237492073203796,2
