jaar	gem_jaar_t	var_sim	og_jaar_t	bg_jaar_t	gem_jaar	og_jaar	bg_jaar	tijdvenster	nat_ind_j	nat_ind_j_var	lcl	ucl
1988	3.5550132393837	0.00302352256908025	3.44723956773158	3.66278691103582	34.9882831879332	31.4135575152739	38.9697970325007	10	48.6344827586207	13.3259678327805	41.4795517298539	55.7894137873875
1988	3.59362192153931	0.00364932218039531	3.47521906647151	3.71202477660711	36.3655508587485	32.3049046829904	40.9366101598975	20	48.6344827586207	13.3259678327805	41.4795517298539	55.7894137873875
1988	3.62820446491241	0.00343360345639028	3.5133544277419	3.74305450208293	37.6451626873724	33.5606559749664	42.2267751505162	30	48.6344827586207	13.3259678327805	41.4795517298539	55.7894137873875
1989	3.50578486919403	0.00462485619795635	3.37249253044169	3.63907720794637	33.3075756861105	29.1510965749824	38.056702094633	0	18.1948275862069	13.2060127354653	11.0721722860703	25.3174828863435
1989	3.41385719776154	0.00388846422523172	3.29163639688194	3.53607799864113	30.3822087243298	26.8868251937391	34.3320046274444	2	34.2637931034483	12.7636978221416	27.2614348183033	41.2661513885933
1989	3.46186156272888	0.00339775616658519	3.34761262361103	3.57611050184673	31.8762609760445	28.4347680524503	35.7342817756988	4	39.325	10.0192319215846	33.1209786146436	45.5290213853564
1989	3.51242381334305	0.00299040168824775	3.40524206524398	3.61960556144212	33.5294384732625	30.1215862306129	37.3228433497878	6	38.2879310344828	8.6297313661681	32.5301557682648	44.0457063007007
1989	3.52164399623871	0.00279812425281265	3.41796528998904	3.62532270248838	33.8400156171868	30.5072783627554	37.5368344352045	8	38.2879310344828	8.6297313661681	32.5301557682648	44.0457063007007
1989	3.52006704807282	0.00271858183599265	3.41787260604611	3.62226149009952	33.7866937206089	30.5044509589382	37.4221019124997	10	38.2879310344828	8.6297313661681	32.5301557682648	44.0457063007007
1989	3.53892563581467	0.00289149241687829	3.43353134152565	3.64431993010368	34.4299090520437	30.9858714688373	38.2567467409843	20	38.2879310344828	8.6297313661681	32.5301557682648	44.0457063007007
1989	3.55644553899765	0.0027741587003291	3.45321178452178	3.65967929347352	35.0384327984967	31.6017274273672	38.8488817833288	30	38.2879310344828	8.6297313661681	32.5301557682648	44.0457063007007
1990	3.49581943750381	0.005164779728284	3.35496128969484	3.63667758531279	32.9772997204309	28.6444953320891	37.9654898521761	0	9.73965517241379	3.72584105179715	5.95637736281747	13.5229329820101
1990	3.34192428588867	0.00470409091107073	3.20749498981088	3.47635358196646	28.2734806522127	24.7170920415664	32.3415758960126	2	12.2491379310345	3.86619960834011	8.39525775445927	16.1030181076097
1990	3.31964380741119	0.00345043265755784	3.20451265568728	3.43477495913511	27.6504999011138	24.6434872261663	31.0244300153145	4	26.9568965517241	5.09626410705718	22.5322148463728	31.3815782570755
1990	3.40584609508514	0.00282659814218547	3.3016412035348	3.51005098663549	30.1397860636273	27.1571728140876	33.4499732420597	6	29.9681034482759	4.64629296003087	25.7432722048704	34.1929346916813
1990	3.43291590213776	0.00260809170695423	3.33281972288282	3.53301208139269	30.9668074100552	28.0172312557136	34.2269067353289	8	29.9681034482759	4.64629296003087	25.7432722048704	34.1929346916813
1990	3.43222874403	0.00249632707777084	3.33430075976623	3.53015672829377	30.9455356266483	28.0587565512311	34.1293162251035	10	29.9681034482759	4.64629296003087	25.7432722048704	34.1929346916813
1990	3.41736495494843	0.00233518895650656	3.32265032094018	3.51207958895667	30.488969270905	27.7337565966265	33.5178988091092	20	29.9681034482759	4.64629296003087	25.7432722048704	34.1929346916813
1990	3.40739067792892	0.00240587996350798	3.31125312820036	3.50352822765749	30.1863754314029	27.4194640557328	33.2324971718436	30	29.9681034482759	4.64629296003087	25.7432722048704	34.1929346916813
1991	3.50281348228455	0.00557255783034253	3.35650033126577	3.64912663330332	33.2087528848292	28.6886143429709	38.441078226417	0	14.1594827586207	6.46351337432463	9.1764883798555	19.1424771373859
1991	3.30908825397491	0.00554306439596595	3.1631628066275	3.45501370132233	27.360168571514	23.6452631828858	31.658722445664	2	12.4112068965517	3.85953742672675	8.56064862812967	16.2617651649738
1991	3.19665275812149	0.00459658460707752	3.06376844969288	3.3295370665501	24.4505511630171	21.408080617265	27.9254111035617	4	18.5137931034483	2.72438971984062	15.278670919088	21.7489152878085
1991	3.29778592586517	0.00313949007870228	3.18796486647153	3.40760698525882	27.0526759338413	24.2390475144688	30.1929056719157	6	24.8293103448276	2.87316357928114	21.5070302232595	28.1515904663957
1991	3.34341504573822	0.00272475460254895	3.24110464899795	3.44572544247849	28.3156610545895	25.561943131986	31.3660294453563	8	25.8862068965517	2.86870955629263	22.566502898986	29.2059108941174
