jaar	tijdvenster	droogte_ind_j	droogte_ind_j_var	nat_ind_j	nat_ind_j_var	verdroging_ind_j	lcl	ucl
1988	10	3.5448275862069	0.408602540834846	48.6344827586207	13.3259678327805	-45.0896551724138	-50.2259342510504	-39.9533760937772
1988	20	3.5448275862069	0.408602540834846	48.6344827586207	13.3259678327805	-45.0896551724138	-50.2259342510504	-39.9533760937772
1988	30	3.5448275862069	0.408602540834846	48.6344827586207	13.3259678327805	-45.0896551724138	-50.2259342510504	-39.9533760937772
1989	0	70.8431034482759	32.4846161107287	18.1948275862069	13.2060127354653	52.648275862069	43.2801084912451	62.0164432328929
1989	2	47.176724137931	14.5647905714792	34.2637931034483	12.7636978221416	12.9129310344828	5.66775605340281	20.1581060155627
1989	4	29.8146551724138	5.62543214270814	39.325	10.0192319215846	-9.51034482758621	-14.9921575510102	-4.02853210416219
1989	6	25.8034482758621	4.0895108162797	38.2879310344828	8.6297313661681	-12.4844827586207	-17.4272674377308	-7.54169807951057
1989	8	25.8034482758621	4.0895108162797	38.2879310344828	8.6297313661681	-12.4844827586207	-17.4272674377308	-7.54169807951057
1989	10	25.8034482758621	4.0895108162797	38.2879310344828	8.6297313661681	-12.4844827586207	-17.4272674377308	-7.54169807951057
1989	20	25.8034482758621	4.0895108162797	38.2879310344828	8.6297313661681	-12.4844827586207	-17.4272674377308	-7.54169807951057
1989	30	25.8034482758621	4.0895108162797	38.2879310344828	8.6297313661681	-12.4844827586207	-17.4272674377308	-7.54169807951057
1990	0	73.751724137931	34.1851697019004	9.73965517241379	3.72584105179715	64.0120689655172	55.4786365110062	72.5455014200283
1990	2	72.4474137931035	22.7424434283539	12.2491379310345	3.86619960834011	60.198275862069	53.0491583259753	67.3473933981626
1990	4	50.5336206896552	10.5056383508563	26.9568965517241	5.09626410705718	23.576724137931	18.1024082682392	29.0510400076229
1990	6	39.3810344827586	5.93726124913949	29.9681034482759	4.64629296003087	9.41293103448276	4.90417389698085	13.9216881719847
1990	8	39.3810344827586	5.93726124913949	29.9681034482759	4.64629296003087	9.41293103448276	4.90417389698085	13.9216881719847
1990	10	39.3810344827586	5.93726124913949	29.9681034482759	4.64629296003087	9.41293103448276	4.90417389698085	13.9216881719847
1990	20	39.3810344827586	5.93726124913949	29.9681034482759	4.64629296003087	9.41293103448276	4.90417389698085	13.9216881719847
1990	30	39.3810344827586	5.93726124913949	29.9681034482759	4.64629296003087	9.41293103448276	4.90417389698085	13.9216881719847
1991	0	36.0818965517241	25.8109923571563	14.1594827586207	6.46351337432463	21.9224137931034	14.0488586488863	29.7959689373206
1991	2	48.3077586206897	21.9005433303085	12.4112068965517	3.85953742672675	35.8965517241379	28.8623521877221	42.9307512605538
1991	4	50.3706896551724	14.0218695892526	18.5137931034483	2.72438971984062	31.8568965517241	26.1853698718163	37.528423231632
1991	6	41.7836206896552	8.62625707960448	24.8293103448276	2.87316357928114	16.9543103448276	12.2545138384257	21.6541068512295
1991	8	38.423275862069	7.00631945313641	25.8862068965517	2.86870955629263	12.5370689655172	8.1818473039584	16.8922906270761
1991	10	38.423275862069	7.00631945313641	25.8862068965517	2.86870955629263	12.5370689655172	8.1818473039584	16.8922906270761
1991	20	38.423275862069	7.00631945313641	25.8862068965517	2.86870955629263	12.5370689655172	8.1818473039584	16.8922906270761
1991	30	38.423275862069	7.00631945313641	25.8862068965517	2.86870955629263	12.5370689655172	8.1818473039584	16.8922906270761
1992	0	7.50862068965517	4.13888150071969	18.4784482758621	13.7040254005257	-10.9698275862069	-16.8241128180616	-5.11554235435219
1992	2	16.7137931034483	5.11250349416943	16.7387931034483	7.62732170609341	-0.0250000000000021	-4.97178241331321	4.92178241331321
