jaar	tijdvenster	nat_ind_j	nat_ind_j_var	lcl	ucl
1994	6	30.2172413793103	3.91732127584121	26.3379654915612	34.0965172670594
1994	8	30.5913793103448	3.31358934643386	27.0235389505108	34.1592196701788
1994	10	30.8	2.90255084798798	27.4607726436149	34.1392273563851
1994	20	30.8	2.90255084798798	27.4607726436149	34.1392273563851
1994	30	30.8	2.90255084798798	27.4607726436149	34.1392273563851
1995	0	55.0051724137931	22.9374675615913	45.618129461691	64.3922153658952
1995	2	56.4836206896552	20.1759957991739	47.6797519115494	65.287489467761
1995	4	46.6439655172414	10.6059222651605	40.2608854633927	53.02704557109
1995	6	38.9560344827586	6.15970097471682	34.0915604860687	43.8205084794485
1995	8	35.5818965517241	4.59461200377579	31.3806275203831	39.7831655830651
1995	10	35.1284482758621	3.94541034326303	31.2352890992191	39.021607452505
