unieknr	loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	gew_aantal_meetptn	geselecteerd	reserve	cat	selectie	obswell_statecode	obswell_state	measuringref_ost	tubelength	filterlength
88	MOMP013	MOM	Mombeekvallei	218029	175631	2	1	1	1	3	230	2.77	33.784	13	1	0	2	3	1	7	7	33.994	3.13	0.3
89	MOMP020	MOM	Mombeekvallei	220506	175297	2	1	1	1	3	50	1.65	36.752	13	1	0	2	3	-1	3	1	37.302	2.4	0.4
92	MOSP016	MOS	De Most	212638	207858	1	2	1	1	1	630	0.83	39.831	11	1	0	3	3	1	3	1	40.501	1.75	0.5
94	MSBP002	MSB	Molenstedebroek	194917	187270	2	1	1	1	2	54	1.8420000000001	18.599	12	1	0	3	3	-1	3	1	19.1069999999999	2.6	0.5
95	MSBP003	MSB	Molenstedebroek	194861	187151	1	2	1	1	2	54	1.77	18.684	12	1	0	2	3	-1	4	2	19.154	2.44	0.4
96	MSBP006	MSB	Molenstedebroek	194955	187335	2	1	1	1	2	54	1.886	18.446	12	1	0	12	3	-1	3	1	18.91	2.6	0.5
98	MSBP008	MSB	Molenstedebroek	194883	187199	2	1	1	1	2	54	1.3770000000001	18.513	12	1	0	10	3	-1	3	1	19.3859999999999	2.5	0.5
99	MSBP009	MSB	Molenstedebroek	194851	187121	2	1	1	1	2	54	2.516	19.018	12	1	0	6	3	-1	3	1	19.452	3.2	0.5
100	MSBP013	MSB	Molenstedebroek	195275	186651	2	1	1	1	2	54	1.965	18.5859999999999	12	1	0	4	3	-1	3	1	19.3709999999999	3	0.5
101	MSBP014	MSB	Molenstedebroek	195268	186601	2	1	1	1	2	54	2.0159999999999	18.6419999999999	12	1	0	8	3	-1	3	1	19.376	3	0.5
103	NEIP002	NEI	Neigembos	128078	167410	2	1	1	1	4	57	0.85	0	14	1	0	2	3	-1	3	1	0.45	1.55	0.5
108	ORCP013	ORC	De Orchis	139861	197002	2	1	1	1	3	745	1.11	4.808	13	2	0	3	3	1	4	2	4.808	1.26	0.3
109	PARP002	PAR	Parike-bos	109810	163492	2	1	1	1	4	985	2.02	63.41	14	1	0	2	3	1	3	1	63.82	2.68	0.5
111	POMP004	POM	De Pomperik	225109	178542	2	1	1	1	3	306	1.47	34.778	13	1	0	5	3	1	3	1	35.078	2.02	0.5
112	POMP005	POM	De Pomperik	225048	178511	2	1	1	1	3	306	1.581	34.981	13	1	0	2	3	1	3	1	35.181	2.031	0.5
113	RASP001	RAS	Raspaillebos	120085	162768	2	1	1	1	4	217	2.32	68.994	14	1	0	3	3	-1	3	1	69.404	2.98	0.5
